"IDYEARS","REGIONGROUP","LABEL_REGIONGROUP","CAT","HEALTHCARE_RATIO","PRODUCTIVITY_RATIO","DISUTILITY_RATIO","PRODUCTIVITY_DISUTILITY_RATIO","REGION_4LETTER","REGION_4LETTER_LABEL","ISO3","COUNTRY"
2025,"EAS","South East Asia","MORT",NA,NA,NA,NA,"MYAN","Myanmar","MMR","Myanmar"
2025,"EAS","South East Asia","MORT",NA,NA,NA,NA,"PHIL","Philippines","PHL","Philippines"
2025,"EAS","South East Asia","MORT",NA,NA,NA,NA,"THAI","Thailand","THA","Thailand"
2025,"EAS","South East Asia","MORT",NA,NA,NA,NA,"VIET","Vietnam","VNM","Vietnam"
2025,"EUR","EU, EFTA, UK","MORB",NA,NA,NA,NA,"AUST","Austria","AUT","Austria"
2025,"EUR","EU, EFTA, UK","MORB",NA,NA,NA,NA,"BELG","Belgium","BEL","Belgium"
2025,"EUR","EU, EFTA, UK","MORB",NA,NA,NA,NA,"BULG","Bulgaria","BGR","Bulgaria"
2025,"EUR","EU, EFTA, UK","MORB",NA,NA,NA,NA,"CROA","Croatia","HRV","Croatia"
2025,"EUR","EU, EFTA, UK","MORB",NA,NA,NA,NA,"CYPR","Cyprus","CYP","Cyprus"
2025,"EUR","EU, EFTA, UK","MORB",NA,NA,NA,NA,"CZRE","Czech Republic","CZE","Czech Republic"
2025,"EUR","EU, EFTA, UK","MORB",NA,NA,NA,NA,"DENM","Denmark","DNK","Denmark"
2025,"EUR","EU, EFTA, UK","MORB",NA,NA,NA,NA,"ESTO","Estonia","EST","Estonia"
2025,"EUR","EU, EFTA, UK","MORB",NA,NA,NA,NA,"FINL","Finland","FIN","Finland"
2025,"EUR","EU, EFTA, UK","MORB",NA,NA,NA,NA,"FRAN","France","FRA","France"
2025,"EUR","EU, EFTA, UK","MORB",NA,NA,NA,NA,"GERM","Germany","DEU","Germany"
2025,"EUR","EU, EFTA, UK","MORB",NA,NA,NA,NA,"GREE","Greece","GRC","Greece"
2025,"EUR","EU, EFTA, UK","MORB",NA,NA,NA,NA,"HUNG","Hungary","HUN","Hungary"
2025,"EUR","EU, EFTA, UK","MORB",NA,NA,NA,NA,"ICEL","Iceland","ISL","Iceland"
2025,"EUR","EU, EFTA, UK","MORB",NA,NA,NA,NA,"IREL","Ireland","IRL","Ireland"
2025,"EUR","EU, EFTA, UK","MORB",NA,NA,NA,NA,"ITAL","Italy","ITA","Italy"
2025,"EUR","EU, EFTA, UK","MORB",NA,NA,NA,NA,"LATV","Latvia","LVA","Latvia"
2025,"EUR","EU, EFTA, UK","MORB",NA,NA,NA,NA,"LITH","Lithuania","LTU","Lithuania"
2025,"EUR","EU, EFTA, UK","MORB",NA,NA,NA,NA,"LUXE","Luxembourg","LUX","Luxembourg"
2025,"EUR","EU, EFTA, UK","MORB",NA,NA,NA,NA,"MALT","Malta","MLT","Malta"
2025,"EUR","EU, EFTA, UK","MORB",NA,NA,NA,NA,"NETH","Netherlands","NLD","Netherlands"
2025,"EUR","EU, EFTA, UK","MORB",NA,NA,NA,NA,"NORW","Norway","NOR","Norway"
2025,"EUR","EU, EFTA, UK","MORB",NA,NA,NA,NA,"POLA","Poland","POL","Poland"
2025,"EUR","EU, EFTA, UK","MORB",NA,NA,NA,NA,"PORT","Portugal","PRT","Portugal"
2025,"EUR","EU, EFTA, UK","MORB",NA,NA,NA,NA,"ROMA","Romania","ROU","Romania"
2025,"EUR","EU, EFTA, UK","MORB",NA,NA,NA,NA,"SKRE","Slovakia","SVK","Slovakia"
2025,"EUR","EU, EFTA, UK","MORB",NA,NA,NA,NA,"SLOV","Slovenia","SVN","Slovenia"
2025,"EUR","EU, EFTA, UK","MORB",NA,NA,NA,NA,"SPAI","Spain","ESP","Spain"
2025,"EUR","EU, EFTA, UK","MORB",NA,NA,NA,NA,"SWED","Sweden","SWE","Sweden"
2025,"EUR","EU, EFTA, UK","MORB",NA,NA,NA,NA,"SWIT","Switzerland","CHE","Switzerland"
2025,"EUR","EU, EFTA, UK","MORB",NA,NA,NA,NA,"UNKI","United Kingdom","GBR","United Kingdom"
2025,"EUR","EU, EFTA, UK","MORT",NA,NA,NA,NA,"AUST","Austria","AUT","Austria"
2025,"EUR","EU, EFTA, UK","MORT",NA,NA,NA,NA,"BELG","Belgium","BEL","Belgium"
2025,"EUR","EU, EFTA, UK","MORT",NA,NA,NA,NA,"BULG","Bulgaria","BGR","Bulgaria"
2025,"EUR","EU, EFTA, UK","MORT",NA,NA,NA,NA,"CROA","Croatia","HRV","Croatia"
2025,"EUR","EU, EFTA, UK","MORT",NA,NA,NA,NA,"CYPR","Cyprus","CYP","Cyprus"
2025,"EUR","EU, EFTA, UK","MORT",NA,NA,NA,NA,"CZRE","Czech Republic","CZE","Czech Republic"
2025,"EUR","EU, EFTA, UK","MORT",NA,NA,NA,NA,"DENM","Denmark","DNK","Denmark"
2025,"EUR","EU, EFTA, UK","MORT",NA,NA,NA,NA,"ESTO","Estonia","EST","Estonia"
2025,"EUR","EU, EFTA, UK","MORT",NA,NA,NA,NA,"FINL","Finland","FIN","Finland"
2025,"EUR","EU, EFTA, UK","MORT",NA,NA,NA,NA,"FRAN","France","FRA","France"
2025,"EUR","EU, EFTA, UK","MORT",NA,NA,NA,NA,"GERM","Germany","DEU","Germany"
2025,"EUR","EU, EFTA, UK","MORT",NA,NA,NA,NA,"GREE","Greece","GRC","Greece"
2025,"EUR","EU, EFTA, UK","MORT",NA,NA,NA,NA,"HUNG","Hungary","HUN","Hungary"
2025,"EUR","EU, EFTA, UK","MORT",NA,NA,NA,NA,"ICEL","Iceland","ISL","Iceland"
2025,"EUR","EU, EFTA, UK","MORT",NA,NA,NA,NA,"IREL","Ireland","IRL","Ireland"
2025,"EUR","EU, EFTA, UK","MORT",NA,NA,NA,NA,"ITAL","Italy","ITA","Italy"
2025,"EUR","EU, EFTA, UK","MORT",NA,NA,NA,NA,"LATV","Latvia","LVA","Latvia"
2025,"EUR","EU, EFTA, UK","MORT",NA,NA,NA,NA,"LITH","Lithuania","LTU","Lithuania"
2025,"EUR","EU, EFTA, UK","MORT",NA,NA,NA,NA,"LUXE","Luxembourg","LUX","Luxembourg"
2025,"EUR","EU, EFTA, UK","MORT",NA,NA,NA,NA,"MALT","Malta","MLT","Malta"
2025,"EUR","EU, EFTA, UK","MORT",NA,NA,NA,NA,"NETH","Netherlands","NLD","Netherlands"
2025,"EUR","EU, EFTA, UK","MORT",NA,NA,NA,NA,"NORW","Norway","NOR","Norway"
2025,"EUR","EU, EFTA, UK","MORT",NA,NA,NA,NA,"POLA","Poland","POL","Poland"
2025,"EUR","EU, EFTA, UK","MORT",NA,NA,NA,NA,"PORT","Portugal","PRT","Portugal"
2025,"EUR","EU, EFTA, UK","MORT",NA,NA,NA,NA,"ROMA","Romania","ROU","Romania"
2025,"EUR","EU, EFTA, UK","MORT",NA,NA,NA,NA,"SKRE","Slovakia","SVK","Slovakia"
