SCEN_LABEL_H,SCEN_LABEL_L,IDYEARS,REGIONGROUP,LABEL_REGIONGROUP,DELTA_COST_HEALTHCARE_MUSD2017_PPP_MORB,DELTA_COST_HEALTHCARE_MUSD2017_PPP_MORT,DELTA_COST_PRODUCTIVITY_MUSD2017_PPP_MORB,DELTA_COST_PRODUCTIVITY_MUSD2017_PPP_MORT,DELTA_COST_DISUTILITY_MUSD2017_PPP_MORB,DELTA_COST_DISUTILITY_MUSD2017_PPP_MORT
Baseline,Integrated Action,2040,NA,Global,361358.8,0,441157,490426.8,838254.7,4477913.6
Baseline,Integrated Action,2045,CAS,Central Asia,837.3,0,1172.7,1399.4,2470.5,10781.7
Baseline,Integrated Action,2045,CHI,Centrally Planned Asia,163991.7,0,230240,604.9,436479,1670715.2
Baseline,Integrated Action,2045,EAS,South East Asia,27540.7,0,50292.5,20143.8,99759.1,464794.9
Baseline,Integrated Action,2045,EUR,"EU, EFTA, UK",32203,0,23954.4,4601.4,43757.1,151788.2
Baseline,Integrated Action,2045,LAC,Latin America & Caribbean,32064.3,0,32500.7,12459,53011,219608.5
Baseline,Integrated Action,2045,MEA,Middle East,13004.2,0,16899.5,2732.9,39337.9,125494.3
Baseline,Integrated Action,2045,NAF,North Africa,9303.1,0,14144.6,5455.2,30266.3,117108.6
Baseline,Integrated Action,2045,NAM,North America,73416.5,0,40372.4,9242.7,62422.4,187288.4
Baseline,Integrated Action,2045,OCE,Oceania,35592.2,0,31132.2,3013.3,57964.8,202375.6
Baseline,Integrated Action,2045,RUS,Russian Federation,5513.5,0,5280.9,2794.4,12869.5,55641
Baseline,Integrated Action,2045,SAF,Southern Africa,5661.1,0,6347.5,19689.3,11386.2,126955.7
Baseline,Integrated Action,2045,SAS,South Asia,50492.5,0,98857.5,337733.3,195925.5,1680175.6
Baseline,Integrated Action,2045,SSA,Sub-Saharan Africa,3783.9,0,12110.6,142351.6,13869.9,340688.2
Baseline,Integrated Action,2045,WAS,Western Asia,8241.8,0,12982.7,1775.7,24471.9,79363.4
Baseline,Integrated Action,2045,WBK,West Balkan,1822,0,1416.8,332.7,2826.1,9632.9
Baseline,Integrated Action,2045,NA,Global,463467.8,0,577705,564329.6,1086817.2,5442412.2
Baseline,Integrated Action,2050,CAS,Central Asia,944,0,1476,906,2831,11074
Baseline,Integrated Action,2050,CHI,Centrally Planned Asia,205248,0,290532,449,547825,1914267
Baseline,Integrated Action,2050,EAS,South East Asia,37263,0,69000,15772,135114,568659
Baseline,Integrated Action,2050,EUR,"EU, EFTA, UK",35190,0,26515,2611,49094,146923
Baseline,Integrated Action,2050,LAC,Latin America & Caribbean,43787,0,44323,8542,72013,252225
Baseline,Integrated Action,2050,MEA,Middle East,17391,0,23081,2113,52900,162674
Baseline,Integrated Action,2050,NAF,North Africa,13117,0,20111,5066,42780,159690
Baseline,Integrated Action,2050,NAM,North America,85004,0,47999,5952,74217,200506
Baseline,Integrated Action,2050,OCE,Oceania,48722,0,42800,2430,79672,258442
Baseline,Integrated Action,2050,RUS,Russian Federation,5249,0,5301,1562,12685,49438
Baseline,Integrated Action,2050,SAF,Southern Africa,9199,0,10450,18537,18645,176005
Baseline,Integrated Action,2050,SAS,South Asia,69650,0,148856,289113,271114,2087829
Baseline,Integrated Action,2050,SSA,Sub-Saharan Africa,5207,0,20209,120913,19669,400374
Baseline,Integrated Action,2050,WAS,Western Asia,8938,0,14992,909,28489,83356
Baseline,Integrated Action,2050,WBK,West Balkan,2033,0,1603,221,3195,9959
Baseline,Integrated Action,2050,NA,Global,586942,0,767248,475096,1410243,6481421
Baseline,Integrated Action,2055,CAS,Central Asia,1169.8,0,1576.3,1156.1,3297.7,12890.8
Baseline,Integrated Action,2055,CHI,Centrally Planned Asia,241405.7,0,342869.6,646,629570.2,2169295.8
Baseline,Integrated Action,2055,EAS,South East Asia,46469.7,0,83680.5,20517.7,162823.5,667314.5
Baseline,Integrated Action,2055,EUR,"EU, EFTA, UK",41071.4,0,30072.8,2961.8,53552.5,160598.1
Baseline,Integrated Action,2055,LAC,Latin America & Caribbean,57027.2,0,55296.2,10309.6,89728.2,297026.2
Baseline,Integrated Action,2055,MEA,Middle East,22218,0,29372.5,2773.5,65676.6,208507.8
Baseline,Integrated Action,2055,NAF,North Africa,17707.2,0,26960.3,7145.8,57040.7,208632.4
Baseline,Integrated Action,2055,NAM,North America,91792.1,0,49961,6807.8,76899.8,206602.8
Baseline,Integrated Action,2055,OCE,Oceania,57757.8,0,50694,2831.4,92111.3,302687.3
Baseline,Integrated Action,2055,RUS,Russian Federation,6021.2,0,5806.7,1881.3,13947,53564.5
Baseline,Integrated Action,2055,SAF,Southern Africa,13919.2,0,14082.1,30234.1,27600,253513.3
Baseline,Integrated Action,2055,SAS,South Asia,95904.1,0,184713.4,403647,360777.6,2629983
Baseline,Integrated Action,2055,SSA,Sub-Saharan Africa,7054,0,20391.7,163199.5,25300.3,384540.2
Baseline,Integrated Action,2055,WAS,Western Asia,10701.1,0,17879.4,1063.4,33318.4,96087.4
Baseline,Integrated Action,2055,WBK,West Balkan,1513.4,0,1190.9,169,2348.8,6984.2
Baseline,Integrated Action,2055,NA,Global,711731.9,0,914547.4,655344,1693992.6,7658228.3
Baseline,Integrated Action,2060,CAS,Central Asia,1537.6,0,2050.9,1265.7,4290.4,16028.6
Baseline,Integrated Action,2060,CHI,Centrally Planned Asia,273453,0,388886.3,726.1,710989.2,2380312.1
Baseline,Integrated Action,2060,EAS,South East Asia,55010.4,0,98894.4,19947.9,190320.5,744231.5
Baseline,Integrated Action,2060,EUR,"EU, EFTA, UK",46181.8,0,33823.9,2682.6,59936.9,171884
Baseline,Integrated Action,2060,LAC,Latin America & Caribbean,71310.2,0,68223.5,9460.6,109841.4,344759.3
Baseline,Integrated Action,2060,MEA,Middle East,28279.7,0,37680.3,2897.2,82529.8,263605.5
Baseline,Integrated Action,2060,NAF,North Africa,23786.9,0,36194.3,7976.4,76040.3,270596.9
Baseline,Integrated Action,2060,NAM,North America,95053.1,0,51531.9,5909.9,79329.2,201688.3
Baseline,Integrated Action,2060,OCE,Oceania,63323.5,0,55729.3,2354.9,100083.9,321079.2
Baseline,Integrated Action,2060,RUS,Russian Federation,7005.7,0,6752.2,1888.2,16100.7,58728
