"REGION_4LETTER","Source","PM25_Contribution"
"AFGH","IRAN",0.107095046854083
"AFGH","KAZA",0.0309466019417476
"AFGH","MIDE",0.00922613443795895
"AFGH","PAKI",0.0609555189456343
"AFGH","RUSS",0.00391310214545945
"AFGH","SAAR",0.026071842410197
"AFGH","OTHER",0.0254501925679192
"ALBA","AUST",0.00524044389642417
"ALBA","BELA",0.00259909031838856
"ALBA","BOHE",0.0755636303575853
"ALBA","BULG",0.0311111111111111
"ALBA","CROA",0.019560878243513
"ALBA","CZRE",0.00831129580657348
"ALBA","FRAN",0.00373708507364256
"ALBA","GERM",0.00409617097061442
"ALBA","GREE",0.121593291404612
"ALBA","HUNG",0.0115065560610115
"ALBA","ITAL",0.0477347682693977
"ALBA","KOSO",0.253432907733076
"ALBA","MACE",0.2875
"ALBA","MOLD",0.00253807106598985
"ALBA","MONT",0.347674418604651
"ALBA","POLA",0.00766075521775848
"ALBA","ROMA",0.0120481927710843
"ALBA","RUSS",0.00458777492915936
"ALBA","SERB",0.0729878944436003
"ALBA","SKRE",0.0074673304293715
"ALBA","SLOV",0.00329308452250274
"ALBA","SPAI",0.0134751773049645
"ALBA","SWIT",0.00146198830409357
"ALBA","TURK",0.00759983418543596
"ALBA","UKRA",0.0106299653127448
"ALBA","UNKI",0.000987947046038333
"ALBA","OTHER",0.00555497727351584
"ARGE","BOLV",0.25
"ARGE","BRAZ",0.137981118373275
"ARGE","CHIL",0.103448275862069
"ARGE","PARA",0.952380952380952
"ARGE","URUG",0.994736842105263
"ARGE","OTHER",0.00392248707539641
"ARME","AZER",0.445619335347432
"ARME","GEOR",0.313513513513513
"ARME","KAZA",0.0112257281553398
"ARME","ROMA",0.00018254837531946
"ARME","RUSS",0.00904061530157873
"ARME","TKME",0.049306625577812
"ARME","TURK",0.171894431394224
"ARME","UKRA",0.00212599306254895
"ARME","UZBE",0.000195274360476469
"ARME","OTHER",0.00950695673293779
"AUST","BELA",0.00714749837556855
"AUST","BELG",0.0091324200913242
"AUST","BOHE",0.0222148814931043
"AUST","BULG",0.00622222222222222
"AUST","CROA",0.0634730538922156
"AUST","CZRE",0.0972799395542123
"AUST","DENM",0.0056657223796034
"AUST","FRAN",0.0183556825675973
"AUST","GERM",0.0563371920451172
"AUST","GREE",0.000698812019566737
"AUST","HUNG",0.0709124966550709
"AUST","ITAL",0.0494705780246485
"AUST","KOSO",0.0012045290291496
"AUST","LITH",0.00149253731343284
"AUST","LUXE",0.00862068965517242
"AUST","MACE",0.000520833333333333
"AUST","MOLD",0.0050761421319797
"AUST","NETH",0.0117171717171717
"AUST","POLA",0.0297382072626372
"AUST","ROMA",0.0122307411464038
"AUST","RUSS",0.0043179058156794
"AUST","SERB",0.0156004659879451
"AUST","SKRE",0.0665836963285625
"AUST","SLOV",0.222832052689352
"AUST","SPAI",0.00709219858156029
"AUST","SWED",0.00173913043478261
"AUST","SWIT",0.192982456140351
"AUST","TURK",0.00096725162360094
"AUST","UKRA",0.0081682891350565
"AUST","UNKI",0.00968188105117566
"AUST","OTHER",0.00213733041879185
"AUTR","OTHER",0.00278269317511537
"AZER","ARME",0.607920792079208
"AZER","BELA",0.000649772579597141
"AZER","GEOR",0.610810810810811
"AZER","GERM",5.93647966755714e-05
"AZER","KAZA",0.0388349514563107
"AZER","RUSS",0.0615301578734314
"AZER","TKME",0.212634822804314
"AZER","TURK",0.0378609921238082
"AZER","UKRA",0.0134273246055723
"AZER","UZBE",0.00390548720952939
"AZER","OTHER",0.0210402137330419
"BANG","BHUT",0.432692307692308
"BANG","INDI",0.441296194657885
"BANG","IRAN",0.126729138777332
"BANG","MIDE",0.00941442289587648
"BANG","MYAN",0.031578947368421
"BANG","NEPA",0.226860254083485
"BANG","PAKI",0.162273476112026
"BANG","SAAR",0.0301274623406721
"BANG","OTHER",0.00296832170986434
"BELA","AUST",0.00462392108508015
"BELA","BELG",0.00175623463294696
"BELA","BOHE",0.00545049137005533
"BELA","BULG",0.00488888888888889
"BELA","CROA",0.00239520958083832
"BELA","CZRE",0.017000377786173
"BELA","DENM",0.0339943342776204
"BELA","ESTO",0.0592592592592593
"BELA","FINL",0.072289156626506
"BELA","FRAN",0.00318751373928336
"BELA","GERM",0.0147818343722173
"BELA","GREE",0.000698812019566737
"BELA","HUNG",0.0104361787530104
"BELA","ITAL",0.00312445755945148
"BELA","KAZA",0.00242718446601942
"BELA","KOSO",0.000240905805829921
"BELA","LATV",0.0982142857142857
"BELA","LITH",0.158208955223881
"BELA","MACE",0.000520833333333333
"BELA","MOLD",0.065989847715736
"BELA","NETH",0.00686868686868687
"BELA","NORW",0.0269360269360269
"BELA","POLA",0.0842079864881168
"BELA","ROMA",0.0171595472800292
"BELA","RUSS",0.0758332208878694
"BELA","SERB",0.00440662513295852
"BELA","SKRE",0.0180460485376478
"BELA","SLOV",0.0021953896816685
"BELA","SWED",0.0452173913043478
"BELA","SWIT",0.00292397660818713
"BELA","TURK",0.0059416885449772
"BELA","UKRA",0.0751930177912051
"BELA","UNKI",0.001778304682869
"BELA","OTHER",0.00273932202213664
"BELG","AUST",0.00863131935881628
"BELG","CROA",0.000399201596806387
"BELG","CZRE",0.0164336985266339
"BELG","DENM",0.0325779036827195
"BELG","FRAN",0.191030995823258
"BELG","GERM",0.090709409320273
"BELG","HUNG",0.000535188654000535
"BELG","ICEL",0.0454545454545454
"BELG","IREL",0.150819672131148
"BELG","ITAL",0.00416594341260198
"BELG","LUXE",0.396551724137931
"BELG","NETH",0.312727272727273
"BELG","NORW",0.0404040404040404
