"IDSCENARIOS","IDYEARS","REGION_4LETTER","POPULATION","GDP_GUSD2017_PPP","CO2 Mt CO2/yr","CH4 kt/yr","PM25_TOTAL","PM25_SELF","PM25_EXPORT","AP_CONTROL_COSTS_MEUR2015","AP_PLUS_CH4_CONTROL_COSTS_MEUR2015"
"Baseline",2025,"EAFR",317184800,785.992,43482.583,357238.688,26.039,7.496,0.634,1113,3158
"Baseline",2025,"ECUA",18413700,205.776,43482.583,357238.688,5.3,3.196,0.007,710,817
"Baseline",2025,"EGYP",116005300,1608.55,43482.583,357238.688,35.656,11.382,1.416,975,2558
"Baseline",2025,"ESTO",1347600,51.184,43482.583,357238.688,4.652,1.81,0.093,254,352
"Baseline",2025,"FINL",5536600,281.888,43482.583,357238.688,3.328,1.296,0.243,1587,252
"Baseline",2025,"FRAN",65109800,3207.38,43482.583,357238.688,7.623,4.528,8.147,11192,14138
"Baseline",2025,"GEOR",3622000,74.022,43482.583,357238.688,15.172,8.74,0.337,195,210
"Baseline",2025,"GERM",83602200,4595.24,43482.583,357238.688,7.264,3.738,14.341,15167,5138
"Baseline",2025,"GREE",10364500,355.738,43482.583,357238.688,11.062,4.411,1.057,1320,2789
"Baseline",2025,"HUNG",9592200,356.484,43482.583,357238.688,11.772,5.172,3.608,1490,1649
"Baseline",2025,"ICEL",376500,23.243,43482.583,357238.688,3.46,2.135,0.026,60,73
"Baseline",2025,"INDI",1445479600,11813.6,43482.583,357238.688,46.44,33.407,39.466,39411,59656
"Baseline",2025,"INDO",280692700,3967.11,43482.583,357238.688,19.822,19.223,2.018,9572,9950
"Baseline",2025,"IRAN",90692700,1473.82,43482.583,357238.688,56.443,21.599,2.037,4424,4446
"Baseline",2025,"IREL",5124500,597.738,43482.583,357238.688,3.758,1.3,0.265,1175,1874
"Baseline",2025,"ISRA",9371700,461.237,43482.583,357238.688,28.505,11.519,1.031,1682,1974
"Baseline",2025,"ITAL",58929300,2678.69,43482.583,357238.688,12.29,8.146,4.845,9985,14105
"Baseline",2025,"JAPA",122472800,5419.11,43482.583,357238.688,6.779,4.308,0.093,16872,31312
"Baseline",2025,"KAZA",19790300,582.083,43482.583,357238.688,43.099,33.473,3.912,1700,-11872
"Baseline",2025,"KENY",56832600,307.035,43482.583,357238.688,12.11,7.734,0.326,284,627
"Baseline",2025,"KORN",NA,NA,43482.583,357238.688,11.672,4.299,0.949,39,53
"Baseline",2025,"KORS",51500500,2490.03,43482.583,357238.688,20.157,10.818,0.694,7458,12924
"Baseline",2025,"KYRG",6897400,39.495,43482.583,357238.688,18.135,9.44,1.366,45,29
"Baseline",2025,"LAOS",7767700,65.644,43482.583,357238.688,8.541,1.569,0.286,129,141
"Baseline",2025,"LATV",1836300,64.826,43482.583,357238.688,7.023,3.467,0.259,272,279
"Baseline",2025,"LITH",2725200,118.114,43482.583,357238.688,6.805,2.466,0.567,694,-211
"Baseline",2025,"LUXE",655300,79.798,43482.583,357238.688,7.109,1.285,0.089,261,382
"Baseline",2025,"MACE",2095400,38.439,43482.583,357238.688,15.383,8.771,0.583,351,366
"Baseline",2025,"MALA",34723700,1090.28,43482.583,357238.688,14.064,12.841,4.918,2267,2866
"Baseline",2025,"MALT",517400,29.076,43482.583,357238.688,12.102,1.338,0,54,63
"Baseline",2025,"MEXI",130410500,2793.85,43482.583,357238.688,12.341,9.285,0.051,5976,7410
"Baseline",2025,"MIDE",152517600,2346.779,43482.583,357238.688,37.935,7.932,3.525,4738,3254
"Baseline",2025,"MOLD",3054300,37.76,43482.583,357238.688,12.383,5.49,0.371,262,417
"Baseline",2025,"MONG",3507600,46.817,43482.583,357238.688,23.683,15.506,0.071,353,379
"Baseline",2025,"MONT",648600,15.24,43482.583,357238.688,20.272,14.294,0.508,84,91
"Baseline",2025,"MYAN",54951000,238.781,43482.583,357238.688,9.143,4.252,0.194,335,436
"Baseline",2025,"NAFR",105405100,1177.352,43482.583,357238.688,24.464,9.343,0.386,1510,162
"Baseline",2025,"NEPA",30601000,136.076,43482.583,357238.688,32.466,15.426,0.857,198,237
"Baseline",2025,"NETH",17584100,1068.58,43482.583,357238.688,8.898,2.647,2.066,3366,6192
"Baseline",2025,"NIGE",232143600,1185.13,43482.583,357238.688,34.32,7.92,0.628,402,2079
"Baseline",2025,"NORW",5506800,381.285,43482.583,357238.688,2.913,1.149,0.187,804,1104
"Baseline",2025,"NZEL",5180200,242.258,43482.583,357238.688,2.653,1.27,0,841,1195
"Baseline",2025,"PAKI",248720000,1360.53,43482.583,357238.688,66.894,39.582,6.825,699,4565
"Baseline",2025,"PARA",7002600,103.285,43482.583,357238.688,9.187,3.338,0.022,159,215
"Baseline",2025,"PERU",34546700,474.594,43482.583,357238.688,17.245,9.811,0.182,519,832
"Baseline",2025,"PHIL",119754000,1173.33,43482.583,357238.688,7.748,7.095,0.196,2198,2480
"Baseline",2025,"POLA",39009400,1472.02,43482.583,357238.688,12.021,8.018,11.889,9271,7867
"Baseline",2025,"PORT",10195100,392.799,43482.583,357238.688,7.465,3.945,0.106,1261,1765
"Baseline",2025,"ROMA",18885400,670.387,43482.583,357238.688,13.577,8.451,5.067,3156,2277
"Baseline",2025,"RSAF",142401300,512.403,43482.583,357238.688,10.733,5.151,0.719,664,1464
"Baseline",2025,"RUSS",145370500,4161.94,43482.583,357238.688,10.42,6.504,5.793,9150,-26492
"Baseline",2025,"SAAR",39222900,1956.32,43482.583,357238.688,56.443,3.563,0.73,3856,2190
"Baseline",2025,"SAFR",60830700,831.469,43482.583,357238.688,12.959,9.375,0.729,3432,4661
"Baseline",2025,"SERB",7153500,152.122,43482.583,357238.688,17.926,11.324,7.531,1061,1183
"Baseline",2025,"SING",6109500,643.993,43482.583,357238.688,15.991,6.889,0.184,1035,5397
"Baseline",2025,"SKRE",5501900,189.842,43482.583,357238.688,9,2.638,1.491,674,640
"Baseline",2025,"SLOV",2114500,91.752,43482.583,357238.688,12.131,6.361,0.945,543,366
"Baseline",2025,"SPAI",47599000,2035.64,43482.583,357238.688,8.052,4.521,1.132,7716,10542
"Baseline",2025,"SRIL",22224200,273.455,43482.583,357238.688,11.346,8.238,0.013,157,201
"Baseline",2025,"SWED",10571100,596.541,43482.583,357238.688,3.77,1.031,0.447,1323,1159
"Baseline",2025,"SWIT",8848800,654.222,43482.583,357238.688,7.076,3.506,0.549,1364,967
"Baseline",2025,"TAIW",NA,NA,43482.583,357238.688,18.723,16.356,0.048,3165,10332
"Baseline",2025,"TAJI",10416900,48.033,43482.583,357238.688,26.148,9.086,0.986,54,53
"Baseline",2025,"TANZ",70253800,209.587,43482.583,357238.688,10.059,6.148,0.456,316,784
"Baseline",2025,"THAI",72034100,1371.85,43482.583,357238.688,10.724,7.44,1.475,4950,5413
"Baseline",2025,"TKME",6714300,107.274,43482.583,357238.688,30.142,4.518,0.434,28,-291
"Baseline",2025,"TURK",87083200,3122.89,43482.583,357238.688,18.111,13.156,7.365,7458,8143
"Baseline",2025,"UKRA",36386400,426.261,43482.583,357238.688,9.831,4.802,7.142,2147,2078
"Baseline",2025,"UNKI",67842400,3262.8,43482.583,357238.688,5.944,3.332,4.013,8223,13318
"Baseline",2025,"URUG",3410900,89.715,43482.583,357238.688,5.021,3.017,0.185,111,155
"Baseline",2025,"USAM",342011000,23076.2,43482.583,357238.688,7.903,5.01,1.671,82449,83463
"Baseline",2025,"UZBE",36056800,337.873,43482.583,357238.688,22.293,7.611,4.559,407,142
"Baseline",2025,"VENE",NA,NA,43482.583,357238.688,9.26,5.465,0.147,981,865
"Baseline",2025,"VIET",99806700,1325.58,43482.583,357238.688,16.929,13.726,3.225,4518,4977
"Baseline",2025,"WAFR",397473000,1182.728,43482.583,357238.688,31.397,7.505,0.352,1126,3882
"Delayed Action",2025,"AFGH",44165100,65.664,43231,357567.618,45.911,27.589,1.361,NA,NA
"Delayed Action",2025,"ALBA",2792900,48.827,43231,357567.618,16.756,9.973,0.492,NA,NA
