"IDSCENARIOS","IDYEARS","REGION_4LETTER","POPULATION","GDP_GUSD2017_PPP","CO2 Mt CO2/yr","CH4 kt/yr","PM25_TOTAL","PM25_SELF","PM25_EXPORT","AP_CONTROL_COSTS_MEUR2015","AP_PLUS_CH4_CONTROL_COSTS_MEUR2015"
"Delayed Action",2040,"IRAN",99196300,2000.67,26988,224825.117,40.847,7.053,0.572,NA,NA
"Delayed Action",2040,"IREL",5582300,840.013,26988,224825.117,2.502,0.589,0.135,NA,NA
"Delayed Action",2040,"ISRA",11417600,751.394,26988,224825.117,20.069,4.136,0.231,NA,NA
"Delayed Action",2040,"ITAL",56951600,3169.17,26988,224825.117,5.75,2.207,1.508,NA,NA
"Delayed Action",2040,"JAPA",112665700,6082.35,26988,224825.117,4.065,1.971,0.035,NA,NA
"Delayed Action",2040,"KAZA",22091900,861.136,26988,224825.117,14.008,5.003,0.627,NA,NA
"Delayed Action",2040,"KENY",73418100,645.003,26988,224825.117,13.151,8.832,0.331,NA,NA
"Delayed Action",2040,"KORN",NA,NA,26988,224825.117,5.684,1.128,0.223,NA,NA
"Delayed Action",2040,"KORS",49226500,3041.78,26988,224825.117,13.167,7.149,0.5,NA,NA
"Delayed Action",2040,"KYRG",8244600,70.434,26988,224825.117,9.605,3.006,0.511,NA,NA
"Delayed Action",2040,"LAOS",8921200,124.811,26988,224825.117,5.581,0.427,0.064,NA,NA
"Delayed Action",2040,"LATV",1568500,78.878,26988,224825.117,2.888,0.868,0.104,NA,NA
"Delayed Action",2040,"LITH",2334000,146.497,26988,224825.117,2.856,0.667,0.217,NA,NA
"Delayed Action",2040,"LUXE",716800,104.165,26988,224825.117,2.796,0.424,0.024,NA,NA
"Delayed Action",2040,"MACE",2086600,58.187,26988,224825.117,8.658,5.408,0.284,NA,NA
"Delayed Action",2040,"MALA",39005400,1761,26988,224825.117,4.911,4.066,1.709,NA,NA
"Delayed Action",2040,"MALT",518700,43.743,26988,224825.117,11.568,0.91,0,NA,NA
"Delayed Action",2040,"MEXI",144099700,4171.19,26988,224825.117,8.063,5.173,0.022,NA,NA
"Delayed Action",2040,"MIDE",194274900,4019.796,26988,224825.117,32.331,3.205,1.343,NA,NA
"Delayed Action",2040,"MOLD",2684300,67.37,26988,224825.117,4.371,0.882,0.08,NA,NA
"Delayed Action",2040,"MONG",4144900,80.702,26988,224825.117,11.935,3.88,0.015,NA,NA
"Delayed Action",2040,"MONT",627500,21.365,26988,224825.117,9.59,6.23,0.113,NA,NA
"Delayed Action",2040,"MYAN",57455300,388.651,26988,224825.117,5.566,1.071,0.046,NA,NA
"Delayed Action",2040,"NAFR",120338300,1736.385,26988,224825.117,23.846,8.884,0.313,NA,NA
"Delayed Action",2040,"NEPA",33817300,281.018,26988,224825.117,26.522,17.052,0.663,NA,NA
"Delayed Action",2040,"NETH",17853400,1328.66,26988,224825.117,4.553,1.57,1.307,NA,NA
"Delayed Action",2040,"NIGE",327148100,2264.24,26988,224825.117,34.952,8.905,0.679,NA,NA
"Delayed Action",2040,"NORW",5858000,486.847,26988,224825.117,1.875,0.438,0.06,NA,NA
"Delayed Action",2040,"NZEL",5565700,334.754,26988,224825.117,1.878,0.487,0,NA,NA
"Delayed Action",2040,"PAKI",323607500,2819.93,26988,224825.117,43.571,20.361,3.318,NA,NA
"Delayed Action",2040,"PARA",8103100,168.381,26988,224825.117,7.648,2.368,0.012,NA,NA
"Delayed Action",2040,"PERU",38169300,740.136,26988,224825.117,14.532,7.092,0.074,NA,NA
"Delayed Action",2040,"PHIL",142859000,2588.91,26988,224825.117,3.04,2.397,0.031,NA,NA
"Delayed Action",2040,"POLA",36570100,2093.74,26988,224825.117,3.791,1.796,2.953,NA,NA
"Delayed Action",2040,"PORT",9853900,513.794,26988,224825.117,4.706,1.346,0.031,NA,NA
"Delayed Action",2040,"ROMA",17107200,892.011,26988,224825.117,5.813,3.122,1.748,NA,NA
"Delayed Action",2040,"RSAF",196991000,1034.351,26988,224825.117,11.228,6.245,0.673,NA,NA
"Delayed Action",2040,"RUSS",140190100,5359.14,26988,224825.117,5.526,2.178,1.773,NA,NA
"Delayed Action",2040,"SAAR",46439500,3217.45,26988,224825.117,52.38,1.163,0.26,NA,NA
"Delayed Action",2040,"SAFR",66781800,1206.92,26988,224825.117,7.521,3.981,0.118,NA,NA
"Delayed Action",2040,"SERB",6816700,244.539,26988,224825.117,8.893,5.823,2.501,NA,NA
"Delayed Action",2040,"SING",6542300,852.74,26988,224825.117,9.397,4.128,0.095,NA,NA
"Delayed Action",2040,"SKRE",5329500,251.823,26988,224825.117,3.901,1.126,0.522,NA,NA
"Delayed Action",2040,"SLOV",2073700,119.424,26988,224825.117,4.738,1.959,0.299,NA,NA
"Delayed Action",2040,"SPAI",48462400,2602.35,26988,224825.117,5.121,1.594,0.488,NA,NA
"Delayed Action",2040,"SRIL",23130800,426.689,26988,224825.117,6.399,4.476,0.008,NA,NA
"Delayed Action",2040,"SWED",11175100,804.736,26988,224825.117,2.433,0.605,0.248,NA,NA
"Delayed Action",2040,"SWIT",9326100,763.533,26988,224825.117,3.664,1.978,0.341,NA,NA
"Delayed Action",2040,"TAIW",NA,NA,26988,224825.117,12.95,11.046,0.031,NA,NA
"Delayed Action",2040,"TAJI",13095500,93.01,26988,224825.117,19.143,3.469,0.342,NA,NA
"Delayed Action",2040,"TANZ",101857300,532.709,26988,224825.117,11.863,8.051,0.473,NA,NA
"Delayed Action",2040,"THAI",70980400,2009.4,26988,224825.117,5.036,2.662,0.397,NA,NA
"Delayed Action",2040,"TKME",7876000,148.342,26988,224825.117,27.054,2.364,0.178,NA,NA
"Delayed Action",2040,"TURK",94146800,5030.02,26988,224825.117,9.125,4.661,1.788,NA,NA
"Delayed Action",2040,"UKRA",36491100,755.979,26988,224825.117,4.825,1.496,1.779,NA,NA
"Delayed Action",2040,"UNKI",70558100,4280.14,26988,224825.117,3.266,1.452,1.542,NA,NA
"Delayed Action",2040,"URUG",3363800,120.284,26988,224825.117,3.957,2.161,0.093,NA,NA
"Delayed Action",2040,"USAM",364364800,29219.9,26988,224825.117,5.316,2.54,0.779,NA,NA
"Delayed Action",2040,"UZBE",42894500,685.054,26988,224825.117,15.032,2.954,2.005,NA,NA
"Delayed Action",2040,"VENE",NA,NA,26988,224825.117,7.864,4.129,0.104,NA,NA
"Delayed Action",2040,"VIET",106218400,2955.99,26988,224825.117,8.123,6.269,0.989,NA,NA
"Delayed Action",2040,"WAFR",572805000,2659.328,26988,224825.117,32.91,9.216,0.352,NA,NA
"Integrated Action",2040,"AFGH",63199300,220.211,25510.338,199207.971,25.308,9.104,0.424,2616,3243
"Integrated Action",2040,"ALBA",2503000,74.317,25510.338,199207.971,8.76,5.017,0.251,724,871
"Integrated Action",2040,"ARGE",49298700,1440.27,25510.338,199207.971,3.748,1.571,0.13,5475,11673
"Integrated Action",2040,"ARME",2611700,90.629,25510.338,199207.971,8.256,2.052,0.113,98,236
"Integrated Action",2040,"AUST",9189600,642.687,25510.338,199207.971,3.177,0.976,0.748,1408,1717
"Integrated Action",2040,"AUTR",29339000,2093.3,25510.338,199207.971,2.351,0.748,0,4864,8407
"Integrated Action",2040,"AZER",11101500,226.487,25510.338,199207.971,14.097,1.593,0.545,531,-616
"Integrated Action",2040,"BANG",194161500,3221.98,25510.338,199207.971,21.376,10.07,0.4,4613,9434
"Integrated Action",2040,"BELA",8899900,212.97,25510.338,199207.971,3.308,1.016,0.445,753,1623
"Integrated Action",2040,"BELG",12073300,794.903,25510.338,199207.971,3.739,1.24,1.035,1459,1093
"Integrated Action",2040,"BHUT",859000,15.77,25510.338,199207.971,2.837,0.853,0.032,275,322
"Integrated Action",2040,"BOHE",2806300,81.927,25510.338,199207.971,8.032,5.213,0.943,1229,1295
"Integrated Action",2040,"BOLV",14887100,164.44,25510.338,199207.971,5.653,1.305,0.001,876,1090
"Integrated Action",2040,"BRAZ",227643800,4982.15,25510.338,199207.971,5.06,2.287,0.451,17117,48495
"Integrated Action",2040,"BRUN",510800,39.283,25510.338,199207.971,2.093,0.808,0.002,144,492
"Integrated Action",2040,"BULG",5957100,259.659,25510.338,199207.971,4.48,1.455,0.406,952,80
"Integrated Action",2040,"CAMB",19616700,214.184,25510.338,199207.971,3.986,1.252,0.049,654,904
"Integrated Action",2040,"CANA",40862900,2716.48,25510.338,199207.971,4.23,2.25,0.102,19683,15717
"Integrated Action",2040,"CARB",48880000,1205.641,25510.338,199207.971,4.043,1.184,0.048,2023,3358
"Integrated Action",2040,"CEAM",61397300,1090.187,25510.338,199207.971,4.098,1.879,0.005,2771,6770
"Integrated Action",2040,"CHIL",20394900,696.257,25510.338,199207.971,4.693,4.648,0.069,2879,9434
"Integrated Action",2040,"CHIN",1383200100,45752.591,25510.338,199207.971,11.692,9.147,6.578,195040,261437
"Integrated Action",2040,"COLO",56625100,1394.38,25510.338,199207.971,4.432,2.662,0.006,2982,3332
"Integrated Action",2040,"CROA",3603000,183.1,25510.338,199207.971,4.218,1.065,0.545,448,477
"Integrated Action",2040,"CYPR",1368300,62.533,25510.338,199207.971,7.08,0.441,0.001,107,195
"Integrated Action",2040,"CZRE",10419200,562.001,25510.338,199207.971,3.935,1.818,1.188,1967,2482
"Integrated Action",2040,"DENM",6066400,444.458,25510.338,199207.971,2.698,0.552,0.243,949,1486
"Integrated Action",2040,"EAFR",438340700,1845.534,25510.338,199207.971,21.169,2.874,0.185,7778,13716
"Integrated Action",2040,"ECUA",20701800,312.125,25510.338,199207.971,3.442,1.55,0.002,1506,2310
"Integrated Action",2040,"EGYP",145029700,3654.92,25510.338,199207.971,26.514,3.968,0.476,4436,9555
"Integrated Action",2040,"ESTO",1253200,71.038,25510.338,199207.971,2.361,0.636,0.031,255,390
"Integrated Action",2040,"FINL",5476800,339.594,25510.338,199207.971,1.927,0.493,0.088,1215,-520
"Integrated Action",2040,"FRAN",67310200,3937.9,25510.338,199207.971,3.542,1.673,2.683,8070,10037
"Integrated Action",2040,"GEOR",3176100,139.841,25510.338,199207.971,6.776,1.662,0.085,255,270
"Integrated Action",2040,"GERM",81891800,5397.91,25510.338,199207.971,2.994,1.261,4.248,7044,-14669
"Integrated Action",2040,"GREE",9962700,459.988,25510.338,199207.971,6.095,1.746,0.251,1027,1748
"Integrated Action",2040,"HUNG",9015700,477.865,25510.338,199207.971,4.827,2.15,1.629,1571,1565
"Integrated Action",2040,"ICEL",405200,33.149,25510.338,199207.971,2.91,1.629,0.022,66,87
"Integrated Action",2040,"INDI",1583687000,24167.4,25510.338,199207.971,21.217,12.44,15.136,112792,138465
"Integrated Action",2040,"INDO",304633200,6923.5,25510.338,199207.971,7.143,6.801,0.533,15194,29409
"Integrated Action",2040,"IRAN",99196300,2000.67,25510.338,199207.971,40.102,6.492,0.537,11569,55995
"Integrated Action",2040,"IREL",5582300,840.013,25510.338,199207.971,2.228,0.57,0.133,757,1207
"Integrated Action",2040,"ISRA",11417600,751.394,25510.338,199207.971,18.939,4.006,0.213,1192,2035
"Integrated Action",2040,"ITAL",56951600,3169.17,25510.338,199207.971,5.112,2.176,1.46,6590,7079
"Integrated Action",2040,"JAPA",112665700,6082.35,25510.338,199207.971,3.466,1.953,0.035,9807,19183
"Integrated Action",2040,"KAZA",22091900,861.136,25510.338,199207.971,13.072,4.125,0.558,1282,-4891
"Integrated Action",2040,"KENY",73418100,645.003,25510.338,199207.971,6.746,2.845,0.127,1964,3013
"Integrated Action",2040,"KORN",NA,NA,25510.338,199207.971,4.949,1.024,0.205,567,650
"Integrated Action",2040,"KORS",49226500,3041.78,25510.338,199207.971,11.641,7.22,0.504,6429,7781
"Integrated Action",2040,"KYRG",8244600,70.434,25510.338,199207.971,8.76,2.271,0.426,133,243
"Integrated Action",2040,"LAOS",8921200,124.811,25510.338,199207.971,4.471,0.401,0.059,627,737
"Integrated Action",2040,"LATV",1568500,78.878,25510.338,199207.971,2.749,0.855,0.099,343,331
"Integrated Action",2040,"LITH",2334000,146.497,25510.338,199207.971,2.662,0.647,0.203,657,-1198
"Integrated Action",2040,"LUXE",716800,104.165,25510.338,199207.971,2.637,0.414,0.022,81,164
"Integrated Action",2040,"MACE",2086600,58.187,25510.338,199207.971,7.619,4.551,0.236,623,680
"Integrated Action",2040,"MALA",39005400,1761,25510.338,199207.971,4.354,3.857,1.651,5312,12574
"Integrated Action",2040,"MALT",518700,43.743,25510.338,199207.971,9.598,0.899,0,43,41
"Integrated Action",2040,"MEXI",144099700,4171.19,25510.338,199207.971,6.281,3.616,0.016,9069,37474
"Integrated Action",2040,"MIDE",194274900,4019.796,25510.338,199207.971,31.24,2.727,1.186,10605,67596
"Integrated Action",2040,"MOLD",2684300,67.37,25510.338,199207.971,3.922,0.664,0.058,436,705
"Integrated Action",2040,"MONG",4144900,80.702,25510.338,199207.971,11.401,3.35,0.014,480,600
"Integrated Action",2040,"MONT",627500,21.365,25510.338,199207.971,8.646,5.466,0.076,277,287
"Integrated Action",2040,"MYAN",57455300,388.651,25510.338,199207.971,4.901,1.032,0.043,1608,2863
"Integrated Action",2040,"NAFR",120338300,1736.385,25510.338,199207.971,16.64,2.898,0.116,8282,34781
"Integrated Action",2040,"NEPA",33817300,281.018,25510.338,199207.971,15.673,8.685,0.382,1717,2125
"Integrated Action",2040,"NETH",17853400,1328.66,25510.338,199207.971,4.113,1.555,1.296,2171,2698
"Integrated Action",2040,"NIGE",327148100,2264.24,25510.338,199207.971,28.938,3.386,0.334,4292,15368
"Integrated Action",2040,"NORW",5858000,486.847,25510.338,199207.971,1.792,0.446,0.063,1157,923
"Integrated Action",2040,"NZEL",5565700,334.754,25510.338,199207.971,1.703,0.447,0,780,1251
"Integrated Action",2040,"PAKI",323607500,2819.93,25510.338,199207.971,34.564,12.323,2.194,8700,7744
"Integrated Action",2040,"PARA",8103100,168.381,25510.338,199207.971,6.072,1.305,0.007,649,866
"Integrated Action",2040,"PERU",38169300,740.136,25510.338,199207.971,11.326,4.214,0.055,2118,2763
"Integrated Action",2040,"PHIL",142859000,2588.91,25510.338,199207.971,2.815,2.32,0.031,3859,9845
"Integrated Action",2040,"POLA",36570100,2093.74,25510.338,199207.971,3.581,1.699,2.751,7744,3408
"Integrated Action",2040,"PORT",9853900,513.794,25510.338,199207.971,4.142,1.306,0.031,1035,1023
"Integrated Action",2040,"ROMA",17107200,892.011,25510.338,199207.971,5.577,3.068,1.682,3308,2090
"Integrated Action",2040,"RSAF",196991000,1034.351,25510.338,199207.971,6.555,2.115,0.244,4693,8359
"Integrated Action",2040,"RUSS",140190100,5359.14,25510.338,199207.971,5.102,1.82,1.333,12041,237
"Integrated Action",2040,"SAAR",46439500,3217.45,25510.338,199207.971,51.495,0.967,0.224,7282,64933
"Integrated Action",2040,"SAFR",66781800,1206.92,25510.338,199207.971,5.282,2.28,0.084,6084,18582
"Integrated Action",2040,"SERB",6816700,244.539,25510.338,199207.971,8.112,5.202,1.999,1514,950
"Integrated Action",2040,"SING",6542300,852.74,25510.338,199207.971,6.844,4.027,0.094,1124,5835
"Integrated Action",2040,"SKRE",5329500,251.823,25510.338,199207.971,3.741,1.117,0.492,731,715
"Integrated Action",2040,"SLOV",2073700,119.424,25510.338,199207.971,4.473,1.977,0.288,367,10
"Integrated Action",2040,"SPAI",48462400,2602.35,25510.338,199207.971,4.443,1.554,0.482,5601,6291
"Integrated Action",2040,"SRIL",23130800,426.689,25510.338,199207.971,3.962,2.426,0.005,936,1971
"Integrated Action",2040,"SWED",11175100,804.736,25510.338,199207.971,2.274,0.598,0.247,899,404
"Integrated Action",2040,"SWIT",9326100,763.533,25510.338,199207.971,3.471,1.859,0.321,1221,401
"Integrated Action",2040,"TAIW",NA,NA,25510.338,199207.971,10.647,9.976,0.029,4656,15814
"Integrated Action",2040,"TAJI",13095500,93.01,25510.338,199207.971,17.386,1.832,0.271,156,1050
"Integrated Action",2040,"TANZ",101857300,532.709,25510.338,199207.971,6.161,2.74,0.173,2112,4542
"Integrated Action",2040,"THAI",70980400,2009.4,25510.338,199207.971,4.293,2.636,0.383,8577,16795
"Integrated Action",2040,"TKME",7876000,148.342,25510.338,199207.971,25.72,1.096,0.108,442,39
"Integrated Action",2040,"TURK",94146800,5030.02,25510.338,199207.971,8.191,4.184,1.625,9554,12283
"Integrated Action",2040,"UKRA",36491100,755.979,25510.338,199207.971,4.458,1.266,1.518,3329,3175
"Integrated Action",2040,"UNKI",70558100,4280.14,25510.338,199207.971,2.994,1.461,1.557,5641,7410
"Integrated Action",2040,"URUG",3363800,120.284,25510.338,199207.971,2.74,1.119,0.052,367,1088
"Integrated Action",2040,"USAM",364364800,29219.9,25510.338,199207.971,5.072,2.481,0.768,85007,95209
"Integrated Action",2040,"UZBE",42894500,685.054,25510.338,199207.971,14.485,2.56,1.81,1039,971
"Integrated Action",2040,"VENE",NA,NA,25510.338,199207.971,5.933,2.511,0.072,3376,3905
"Integrated Action",2040,"VIET",106218400,2955.99,25510.338,199207.971,6.679,5.521,0.866,6948,11238
"Integrated Action",2040,"WAFR",572805000,2659.328,25510.338,199207.971,25.909,3.181,0.108,9284,18904
"Long-term Climate Action",2040,"AFGH",63199300,220.211,25510.338,345488.763,51.309,34.568,1.374,335,380
"Long-term Climate Action",2040,"ALBA",2503000,74.317,25510.338,345488.763,13.475,8.835,0.467,621,657
"Long-term Climate Action",2040,"ARGE",49298700,1440.27,25510.338,345488.763,5.42,2.822,0.295,3093,3698
"Long-term Climate Action",2040,"ARME",2611700,90.629,25510.338,345488.763,11.635,4.761,0.219,29,31
"Long-term Climate Action",2040,"AUST",9189600,642.687,25510.338,345488.763,4.207,1.238,1.073,1245,2293
"Long-term Climate Action",2040,"AUTR",29339000,2093.3,25510.338,345488.763,3.033,1.222,0,3567,9755
"Long-term Climate Action",2040,"AZER",11101500,226.487,25510.338,345488.763,16.414,3.395,0.978,305,-1267
"Long-term Climate Action",2040,"BANG",194161500,3221.98,25510.338,345488.763,52.199,31.155,1.011,370,783
"Long-term Climate Action",2040,"BELA",8899900,212.97,25510.338,345488.763,5.487,2.404,0.937,276,253
"Long-term Climate Action",2040,"BELG",12073300,794.903,25510.338,345488.763,5.433,1.809,1.598,1478,2154
"Long-term Climate Action",2040,"BHUT",859000,15.77,25510.338,345488.763,5.151,1.918,0.117,23,26
"Long-term Climate Action",2040,"BOHE",2806300,81.927,25510.338,345488.763,13.882,10.103,1.941,897,1077
"Long-term Climate Action",2040,"BOLV",14887100,164.44,25510.338,345488.763,7.475,2.827,0.003,357,399
"Long-term Climate Action",2040,"BRAZ",227643800,4982.15,25510.338,345488.763,8.488,5.47,1.132,13079,16842
"Long-term Climate Action",2040,"BRUN",510800,39.283,25510.338,345488.763,3.488,1.851,0.004,74,73
"Long-term Climate Action",2040,"BULG",5957100,259.659,25510.338,345488.763,7.147,3.054,1.067,777,405
"Long-term Climate Action",2040,"CAMB",19616700,214.184,25510.338,345488.763,8.351,3.232,0.123,464,563
"Long-term Climate Action",2040,"CANA",40862900,2716.48,25510.338,345488.763,7.495,4.653,0.178,13670,19884
"Long-term Climate Action",2040,"CARB",48880000,1205.641,25510.338,345488.763,6.592,3.4,0.129,712,1051
"Long-term Climate Action",2040,"CEAM",61397300,1090.187,25510.338,345488.763,8.256,5.779,0.016,1197,1606
"Long-term Climate Action",2040,"CHIL",20394900,696.257,25510.338,345488.763,12.658,12.497,0.134,1592,2394
"Long-term Climate Action",2040,"CHIN",1383200100,45752.591,25510.338,345488.763,19.043,15.682,11.275,156963,183982
"Long-term Climate Action",2040,"COLO",56625100,1394.38,25510.338,345488.763,7.292,5.316,0.018,2160,2303
"Long-term Climate Action",2040,"CROA",3603000,183.1,25510.338,345488.763,6.391,1.799,1.094,358,443
"Long-term Climate Action",2040,"CYPR",1368300,62.533,25510.338,345488.763,8.479,0.595,0.002,79,174
"Long-term Climate Action",2040,"CZRE",10419200,562.001,25510.338,345488.763,5.717,2.657,2.014,1736,2576
"Long-term Climate Action",2040,"DENM",6066400,444.458,25510.338,345488.763,3.887,0.878,0.431,1042,2079
"Long-term Climate Action",2040,"EAFR",438340700,1845.534,25510.338,345488.763,30.479,11.322,0.787,1788,4267
"Long-term Climate Action",2040,"ECUA",20701800,312.125,25510.338,345488.763,5.39,3.309,0.005,1024,1154
"Long-term Climate Action",2040,"EGYP",145029700,3654.92,25510.338,345488.763,39.128,14.633,1.567,1170,3151
"Long-term Climate Action",2040,"ESTO",1253200,71.038,25510.338,345488.763,3.267,0.988,0.06,169,322
"Long-term Climate Action",2040,"FINL",5476800,339.594,25510.338,345488.763,2.294,0.557,0.128,1010,-327
"Long-term Climate Action",2040,"FRAN",67310200,3937.9,25510.338,345488.763,4.547,2.149,4.183,6983,10796
"Long-term Climate Action",2040,"GEOR",3176100,139.841,25510.338,345488.763,10.042,4.287,0.225,177,201
"Long-term Climate Action",2040,"GERM",81891800,5397.91,25510.338,345488.763,4.171,1.844,6.807,6526,-5419
"Long-term Climate Action",2040,"GREE",9962700,459.988,25510.338,345488.763,7.79,2.352,0.467,605,1823
"Long-term Climate Action",2040,"HUNG",9015700,477.865,25510.338,345488.763,7.104,3.039,2.693,1232,1383
"Long-term Climate Action",2040,"ICEL",405200,33.149,25510.338,345488.763,3.269,1.922,0.025,62,77
"Long-term Climate Action",2040,"INDI",1583687000,24167.4,25510.338,345488.763,38.306,26.185,31.025,84644,115607
"Long-term Climate Action",2040,"INDO",304633200,6923.5,25510.338,345488.763,18.978,18.373,1.477,9024,10713
"Long-term Climate Action",2040,"IRAN",99196300,2000.67,25510.338,345488.763,57.586,23.46,1.653,5733,6174
"Long-term Climate Action",2040,"IREL",5582300,840.013,25510.338,345488.763,2.875,0.695,0.179,744,1440
"Long-term Climate Action",2040,"ISRA",11417600,751.394,25510.338,345488.763,26.558,9.51,0.489,1025,1388
"Long-term Climate Action",2040,"ITAL",56951600,3169.17,25510.338,345488.763,6.761,3.015,2.353,5515,8683
"Long-term Climate Action",2040,"JAPA",112665700,6082.35,25510.338,345488.763,5.376,3.005,0.052,9144,24803
"Long-term Climate Action",2040,"KAZA",22091900,861.136,25510.338,345488.763,15.272,5.988,0.925,722,-6405
"Long-term Climate Action",2040,"KENY",73418100,645.003,25510.338,345488.763,15.732,11.251,0.429,494,910
"Long-term Climate Action",2040,"KORN",NA,NA,25510.338,345488.763,9.922,3.624,0.684,24,39
"Long-term Climate Action",2040,"KORS",49226500,3041.78,25510.338,345488.763,20.355,12.46,0.904,5334,13565
"Long-term Climate Action",2040,"KYRG",8244600,70.434,25510.338,345488.763,11.981,4.784,0.858,37,28
"Long-term Climate Action",2040,"LAOS",8921200,124.811,25510.338,345488.763,7.103,1.062,0.174,343,360
"Long-term Climate Action",2040,"LATV",1568500,78.878,25510.338,345488.763,4.182,1.573,0.181,282,287
"Long-term Climate Action",2040,"LITH",2334000,146.497,25510.338,345488.763,4.105,1.236,0.472,629,-447
"Long-term Climate Action",2040,"LUXE",716800,104.165,25510.338,345488.763,3.747,0.574,0.043,73,233
"Long-term Climate Action",2040,"MACE",2086600,58.187,25510.338,345488.763,11.357,7.155,0.388,523,575
"Long-term Climate Action",2040,"MALA",39005400,1761,25510.338,345488.763,13.373,12.117,3.374,2004,2688
"Long-term Climate Action",2040,"MALT",518700,43.743,25510.338,345488.763,12.27,1.339,0,30,33
"Long-term Climate Action",2040,"MEXI",144099700,4171.19,25510.338,345488.763,11.642,8.694,0.04,6783,8437
"Long-term Climate Action",2040,"MIDE",194274900,4019.796,25510.338,345488.763,38.473,8.675,3.096,5445,5212
"Long-term Climate Action",2040,"MOLD",2684300,67.37,25510.338,345488.763,5.984,1.273,0.126,362,562
"Long-term Climate Action",2040,"MONG",4144900,80.702,25510.338,345488.763,15.446,7.38,0.03,110,142
"Long-term Climate Action",2040,"MONT",627500,21.365,25510.338,345488.763,14.498,10.578,0.146,228,250
"Long-term Climate Action",2040,"MYAN",57455300,388.651,25510.338,345488.763,7.83,3.21,0.146,595,726
"Long-term Climate Action",2040,"NAFR",120338300,1736.385,25510.338,345488.763,25.367,10.391,0.37,1700,1180
"Long-term Climate Action",2040,"NEPA",33817300,281.018,25510.338,345488.763,41.87,28.146,1.07,463,514
"Long-term Climate Action",2040,"NETH",17853400,1328.66,25510.338,345488.763,5.697,1.731,1.429,2025,4713
"Long-term Climate Action",2040,"NIGE",327148100,2264.24,25510.338,345488.763,37.403,11.265,0.858,757,2818
"Long-term Climate Action",2040,"NORW",5858000,486.847,25510.338,345488.763,2.26,0.692,0.123,1104,1319
"Long-term Climate Action",2040,"NZEL",5565700,334.754,25510.338,345488.763,2.184,0.793,0,624,1082
"Long-term Climate Action",2040,"PAKI",323607500,2819.93,25510.338,345488.763,64.564,39.935,6.207,1460,4745
"Long-term Climate Action",2040,"PARA",8103100,168.381,25510.338,345488.763,9.071,3.439,0.018,208,276
"Long-term Climate Action",2040,"PERU",38169300,740.136,25510.338,345488.763,17.413,9.924,0.145,665,1044
"Long-term Climate Action",2040,"PHIL",142859000,2588.91,25510.338,345488.763,7.13,6.486,0.095,2544,2887
"Long-term Climate Action",2040,"POLA",36570100,2093.74,25510.338,345488.763,5.658,3.04,5.325,6321,4745
"Long-term Climate Action",2040,"PORT",9853900,513.794,25510.338,345488.763,5.297,1.785,0.055,830,1310
"Long-term Climate Action",2040,"ROMA",17107200,892.011,25510.338,345488.763,7.957,4.507,3.308,2877,2188
"Long-term Climate Action",2040,"RSAF",196991000,1034.351,25510.338,345488.763,12.723,7.691,0.838,922,1909
"Long-term Climate Action",2040,"RUSS",140190100,5359.14,25510.338,345488.763,7.382,3.831,3.572,5926,-15135
"Long-term Climate Action",2040,"SAAR",46439500,3217.45,25510.338,345488.763,55.784,3.494,0.581,4323,3292
"Long-term Climate Action",2040,"SAFR",66781800,1206.92,25510.338,345488.763,8.665,5.017,0.162,3773,5380
"Long-term Climate Action",2040,"SERB",6816700,244.539,25510.338,345488.763,13.493,9.374,4.446,1148,1380
"Long-term Climate Action",2040,"SING",6542300,852.74,25510.338,345488.763,19.996,12.574,0.284,1042,7613
"Long-term Climate Action",2040,"SKRE",5329500,251.823,25510.338,345488.763,5.535,1.618,0.952,579,666
"Long-term Climate Action",2040,"SLOV",2073700,119.424,25510.338,345488.763,7.557,4.003,0.54,275,98
"Long-term Climate Action",2040,"SPAI",48462400,2602.35,25510.338,345488.763,5.759,2.141,0.742,5113,7544
"Long-term Climate Action",2040,"SRIL",23130800,426.689,25510.338,345488.763,10.901,8.434,0.013,228,286
"Long-term Climate Action",2040,"SWED",11175100,804.736,25510.338,345488.763,2.875,0.697,0.344,873,849
"Long-term Climate Action",2040,"SWIT",9326100,763.533,25510.338,345488.763,4.434,2.348,0.392,1361,861
"Long-term Climate Action",2040,"TAIW",NA,NA,25510.338,345488.763,22.568,20.403,0.053,3832,15796
"Long-term Climate Action",2040,"TAJI",13095500,93.01,25510.338,345488.763,21.704,5.385,0.524,44,43
"Long-term Climate Action",2040,"TANZ",101857300,532.709,25510.338,345488.763,14.037,10.111,0.594,525,1095
"Long-term Climate Action",2040,"THAI",70980400,2009.4,25510.338,345488.763,9.623,6.778,0.941,6446,7301
"Long-term Climate Action",2040,"TKME",7876000,148.342,25510.338,345488.763,28.743,3.753,0.291,29,-139
"Long-term Climate Action",2040,"TURK",94146800,5030.02,25510.338,345488.763,12.526,7.811,3.483,7517,8223
"Long-term Climate Action",2040,"UKRA",36491100,755.979,25510.338,345488.763,6.719,2.746,3.789,2105,2304
"Long-term Climate Action",2040,"UNKI",70558100,4280.14,25510.338,345488.763,4.21,2.137,2.632,4899,10455
"Long-term Climate Action",2040,"URUG",3363800,120.284,25510.338,345488.763,5.015,3.061,0.167,136,187
