"REGION_4LETTER","REGION_4LETTER_LABEL","ISO3","COUNTRY","isomatch"
"NAFR","Northern Africa (excl Egypt)","LBY","Libyan Arab Jamahiriya",TRUE
"NAFR","Northern Africa (excl Egypt)","MAR","Morocco",TRUE
"NAFR","Northern Africa (excl Egypt)","TUN","Tunisia",TRUE
"NEPA","Nepal","NPL","Nepal",TRUE
"NETH","Netherlands","NLD","Netherlands",TRUE
"NIGE","Nigeria","NGA","Nigeria",TRUE
"NORW","Norway","NOR","Norway",TRUE
"NZEL","New Zealand","NZL","New Zealand",TRUE
"PAKI","Pakistan","PAK","Pakistan",TRUE
"PARA","Paraguay","PRY","Paraguay",TRUE
"PERU","Peru","PER","Peru",TRUE
"PHIL","Philippines","PHL","Philippines",TRUE
"POLA","Poland","POL","Poland",TRUE
"PORT","Portugal","PRT","Portugal",TRUE
"ROMA","Romania","ROU","Romania",TRUE
"RSAF","Remaining Southern Africa","AGO","Angola",TRUE
"RSAF","Remaining Southern Africa","BWA","Botswana",TRUE
"RSAF","Remaining Southern Africa","LSO","Lesotho",TRUE
"RSAF","Remaining Southern Africa","MOZ","Mozambique",TRUE
"RSAF","Remaining Southern Africa","MWI","Malawi",TRUE
"RSAF","Remaining Southern Africa","NAM","Namibia",TRUE
"RSAF","Remaining Southern Africa","SWZ","Swaziland",TRUE
"RSAF","Remaining Southern Africa","ZMB","Zambia",TRUE
"RSAF","Remaining Southern Africa","ZWE","Zimbabwe",TRUE
"RUSS","Russian Federation","RUS","Russian Federation",TRUE
"SAAR","Saudi Arabia","SAU","Saudi Arabia",TRUE
"SAFR","South Africa","ZAF","South Africa",TRUE
"SERB","Serbia","SRB","Serbia",TRUE
"SING","Singapore","SGP","Singapore",TRUE
"SKRE","Slovakia","SVK","Slovakia",TRUE
"SLOV","Slovenia","SVN","Slovenia",TRUE
"SPAI","Spain","ESP","Spain",TRUE
"SRIL","Sri Lanka","LKA","Sri Lanka",TRUE
"SWED","Sweden","SWE","Sweden",TRUE
"SWIT","Switzerland","CHE","Switzerland",TRUE
"TAIW","Taiwan","TWN","Taiwan",TRUE
"TAJI","Tajikistan","TJK","Tajikistan",TRUE
"TANZ","United Republic of Tanzania","TZA","United Republic of Tanzania",TRUE
"THAI","Thailand","THA","Thailand",TRUE
"TKME","Turkmenistan","TKM","Turkmenistan",TRUE
"TURK","Turkey","TUR","Turkey",TRUE
"UKRA","Ukraine","UKR","Ukraine",TRUE
"UNKI","United Kingdom","GBR","United Kingdom",TRUE
"URUG","Uruguay","URY","Uruguay",TRUE
"USAM","United States of America","USA","United States of America",TRUE
"UZBE","Uzbekistan","UZB","Uzbekistan",TRUE
"VENE","Venezuela (Bolivarian Republic of)","VEN","Venezuela (Bolivarian Republic of)",TRUE
"VIET","Vietnam","VNM","Vietnam",TRUE
"WAFR","Western Africa (excl Nigeria)","BEN","Benin",TRUE
"WAFR","Western Africa (excl Nigeria)","BFA","Burkina Faso",TRUE
"WAFR","Western Africa (excl Nigeria)","CAF","Central African Republic",TRUE
