"IDSCENARIOS","IDYEARS","REGION_4LETTER","REGION_4LETTER","PM25_SELF","PM25_EXPORT","AP_CONTROL_COSTS_MEUR2015","AP_PLUS_CH4_CONTROL_COSTS_MEUR2015"
"Long-term Climate Action",2030,"SPAI","SPAI",3.008,0.903,7345,11698
"Long-term Climate Action",2030,"SRIL","SRIL",7.947,0.013,194,244
"Long-term Climate Action",2030,"SWED","SWED",0.799,0.387,1243,1599
"Long-term Climate Action",2030,"SWIT","SWIT",2.892,0.462,1339,934
"Long-term Climate Action",2030,"TAIW","TAIW",17.168,0.048,3638,12362
"Long-term Climate Action",2030,"TAJI","TAJI",9.953,0.98,54,54
"Long-term Climate Action",2030,"TANZ","TANZ",7.165,0.491,389,900
"Long-term Climate Action",2030,"THAI","THAI",7.095,1.272,6507,7295
"Long-term Climate Action",2030,"TKME","TKME",4.68,0.403,28,-239
"Long-term Climate Action",2030,"TURK","TURK",9.139,5.17,7041,7756
"Long-term Climate Action",2030,"UKRA","UKRA",4.794,6.303,2497,2622
"Long-term Climate Action",2030,"UNKI","UNKI",2.692,3.297,7508,13481
"Long-term Climate Action",2030,"URUG","URUG",2.93,0.173,120,166
"Long-term Climate Action",2030,"USAM","USAM",4.655,1.561,84645,90748
"Long-term Climate Action",2030,"UZBE","UZBE",8.202,4.629,436,216
"Long-term Climate Action",2030,"VENE","VENE",4.938,0.122,948,914
"Long-term Climate Action",2030,"VIET","VIET",14.679,3.396,6128,6892
"Long-term Climate Action",2030,"WAFR","WAFR",8.519,0.378,1357,4355
"Baseline",2035,"AFGH","AFGH",39.244,1.766,232,273
"Baseline",2035,"ALBA","ALBA",9.452,0.476,538,556
"Baseline",2035,"ARGE","ARGE",2.889,0.315,2929,3504
"Baseline",2035,"ARME","ARME",13.715,0.555,38,39
"Baseline",2035,"AUST","AUST",1.39,1.227,1811,2794
"Baseline",2035,"AUTR","AUTR",1.435,0,4574,8460
"Baseline",2035,"AZER","AZER",4.517,1.057,428,-1415
"Baseline",2035,"BANG","BANG",35.073,1.413,415,802
"Baseline",2035,"BELA","BELA",4.639,1.297,768,741
"Baseline",2035,"BELG","BELG",1.914,1.612,1884,2694
"Baseline",2035,"BHUT","BHUT",2.222,0.132,25,28
"Baseline",2035,"BOHE","BOHE",14.727,3.149,898,935
"Baseline",2035,"BOLV","BOLV",3.044,0.004,379,417
"Baseline",2035,"BRAZ","BRAZ",6.388,1.417,16052,19667
"Baseline",2035,"BRUN","BRUN",2.034,0.004,73,75
"Baseline",2035,"BULG","BULG",5.017,1.239,904,539
"Baseline",2035,"CAMB","CAMB",3.835,0.152,465,558
"Baseline",2035,"CANA","CANA",4.677,0.179,12309,11444
"Baseline",2035,"CARB","CARB",3.808,0.142,835,1162
"Baseline",2035,"CEAM","CEAM",6.851,0.021,1482,1873
"Baseline",2035,"CHIL","CHIL",13.947,0.146,1924,2697
"Baseline",2035,"CHIN","CHIN",19.248,14.404,271685,299598
"Baseline",2035,"COLO","COLO",5.862,0.021,2514,2598
"Baseline",2035,"CROA","CROA",3.619,1.536,572,655
"Baseline",2035,"CYPR","CYPR",0.729,0.002,121,211
"Baseline",2035,"CZRE","CZRE",4.974,2.939,2308,3041
"Baseline",2035,"DENM","DENM",0.96,0.445,1262,2216
"Baseline",2035,"EAFR","EAFR",11.063,0.823,1875,4248
"Baseline",2035,"ECUA","ECUA",3.461,0.007,1152,1271
"Baseline",2035,"EGYP","EGYP",15.04,1.657,1402,3211
"Baseline",2035,"ESTO","ESTO",1.484,0.074,230,373
"Baseline",2035,"FINL","FINL",0.678,0.146,1339,14
"Baseline",2035,"FRAN","FRAN",2.333,4.701,9690,13737
"Baseline",2035,"GEOR","GEOR",10.804,0.392,227,249
"Baseline",2035,"GERM","GERM",2.005,7.377,9339,-1836
"Baseline",2035,"GREE","GREE",2.757,0.628,1151,2272
"Baseline",2035,"HUNG","HUNG",5.278,3.716,1606,1771
"Baseline",2035,"ICEL","ICEL",1.797,0.025,63,77
"Baseline",2035,"INDI","INDI",33.638,40.146,90395,118198
"Baseline",2035,"INDO","INDO",19.379,1.668,10236,11934
"Baseline",2035,"IRAN","IRAN",27.788,2.541,6227,6063
"Baseline",2035,"IREL","IREL",0.776,0.195,1037,1837
"Baseline",2035,"ISRA","ISRA",10.79,0.749,1868,2207
"Baseline",2035,"ITAL","ITAL",3.388,2.619,7974,11340
"Baseline",2035,"JAPA","JAPA",3.5,0.081,12072,26426
"Baseline",2035,"KAZA","KAZA",7.87,1.12,1065,-7274
"Baseline",2035,"KENY","KENY",11.304,0.445,496,894
"Baseline",2035,"KORN","KORN",5.383,1.083,39,54
"Baseline",2035,"KORS","KORS",11.943,0.853,5845,13016
"Baseline",2035,"KYRG","KYRG",5.764,0.932,36,26
"Baseline",2035,"LAOS","LAOS",1.328,0.25,338,354
"Baseline",2035,"LATV","LATV",2.952,0.251,372,384
"Baseline",2035,"LITH","LITH",1.867,0.511,802,-208
"Baseline",2035,"LUXE","LUXE",0.774,0.054,144,309
"Baseline",2035,"MACE","MACE",7.746,0.426,458,482
"Baseline",2035,"MALA","MALA",13.097,4.037,2356,3099
"Baseline",2035,"MALT","MALT",1.349,0,50,56
"Baseline",2035,"MEXI","MEXI",9.67,0.048,8067,9636
"Baseline",2035,"MIDE","MIDE",9.752,3.671,7179,4871
"Baseline",2035,"MOLD","MOLD",8.247,0.511,512,700
"Baseline",2035,"MONG","MONG",21.564,0.106,565,597
"Baseline",2035,"MONT","MONT",11.98,0.166,165,187
"Baseline",2035,"MYAN","MYAN",3.6,0.166,600,723
"Baseline",2035,"NAFR","NAFR",12.099,0.445,2186,-75
"Baseline",2035,"NEPA","NEPA",26.002,1.135,456,503
"Baseline",2035,"NETH","NETH",1.945,1.587,2577,6001
"Baseline",2035,"NIGE","NIGE",11.362,0.885,733,2688
"Baseline",2035,"NORW","NORW",0.724,0.105,1066,1261
"Baseline",2035,"NZEL","NZEL",0.891,0,801,1112
"Baseline",2035,"PAKI","PAKI",46.271,7.975,1369,4738
"Baseline",2035,"PARA","PARA",3.9,0.022,229,293
"Baseline",2035,"PERU","PERU",11.203,0.169,715,1052
"Baseline",2035,"PHIL","PHIL",6.935,0.123,2633,2962
"Baseline",2035,"POLA","POLA",5.265,7.789,8590,7284
"Baseline",2035,"PORT","PORT",2.035,0.061,1254,1705
"Baseline",2035,"ROMA","ROMA",8.472,4.742,3709,3106
"Baseline",2035,"RSAF","RSAF",7.62,0.943,1031,1965
"Baseline",2035,"RUSS","RUSS",4.531,4.061,8595,-15165
"Baseline",2035,"SAAR","SAAR",4.885,0.978,5967,3547
"Baseline",2035,"SAFR","SAFR",12.025,0.602,8465,9950
"Baseline",2035,"SERB","SERB",10.139,5.332,1182,1219
"Baseline",2035,"SING","SING",15.073,0.335,1217,7197
"Baseline",2035,"SKRE","SKRE",2.54,1.179,640,711
"Baseline",2035,"SLOV","SLOV",8.178,1.008,418,255
"Baseline",2035,"SPAI","SPAI",2.46,0.792,7141,9675
"Baseline",2035,"SRIL","SRIL",9.332,0.016,248,304
"Baseline",2035,"SWED","SWED",0.742,0.37,1150,1078
"Baseline",2035,"SWIT","SWIT",2.453,0.411,1461,974
"Baseline",2035,"TAIW","TAIW",19.635,0.053,3982,14848
"Baseline",2035,"TAJI","TAJI",6.835,0.559,43,43
"Baseline",2035,"TANZ","TANZ",9.685,0.618,533,1078
"Baseline",2035,"THAI","THAI",7.363,1.154,6941,7795
"Baseline",2035,"TKME","TKME",4.858,0.359,28,-168
"Baseline",2035,"TURK","TURK",8.417,3.706,8121,8833
"Baseline",2035,"UKRA","UKRA",5.387,5.262,2725,2896
"Baseline",2035,"UNKI","UNKI",2.439,2.912,6895,11923
"Baseline",2035,"URUG","URUG",3.414,0.189,152,200
"Baseline",2035,"USAM","USAM",4.133,1.382,80205,91481
"Baseline",2035,"UZBE","UZBE",4.79,3.326,428,268
"Baseline",2035,"VENE","VENE",6.593,0.162,1339,1205
"Baseline",2035,"VIET","VIET",16.872,3.903,8450,9311
"Baseline",2035,"WAFR","WAFR",11.259,0.465,1784,4976
"Delayed Action",2035,"AFGH","AFGH",32.34,1.323,NA,NA
"Delayed Action",2035,"ALBA","ALBA",7.645,0.323,NA,NA
"Delayed Action",2035,"ARGE","ARGE",2.237,0.195,NA,NA
"Delayed Action",2035,"ARME","ARME",5.539,0.193,NA,NA
"Delayed Action",2035,"AUST","AUST",1.229,1.016,NA,NA
"Delayed Action",2035,"AUTR","AUTR",1.193,0,NA,NA
"Delayed Action",2035,"AZER","AZER",3.263,0.747,NA,NA
"Delayed Action",2035,"BANG","BANG",24.424,0.868,NA,NA
"Delayed Action",2035,"BELA","BELA",2.56,0.751,NA,NA
"Delayed Action",2035,"BELG","BELG",1.446,1.208,NA,NA
"Delayed Action",2035,"BHUT","BHUT",1.749,0.11,NA,NA
"Delayed Action",2035,"BOHE","BOHE",10.433,1.914,NA,NA
"Delayed Action",2035,"BOLV","BOLV",2.46,0.002,NA,NA
"Delayed Action",2035,"BRAZ","BRAZ",4.499,0.83,NA,NA
"Delayed Action",2035,"BRUN","BRUN",1.433,0.003,NA,NA
"Delayed Action",2035,"BULG","BULG",3.467,0.711,NA,NA
"Delayed Action",2035,"CAMB","CAMB",2.64,0.095,NA,NA
"Delayed Action",2035,"CANA","CANA",2.422,0.111,NA,NA
"Delayed Action",2035,"CARB","CARB",3.011,0.102,NA,NA
"Delayed Action",2035,"CEAM","CEAM",5.751,0.017,NA,NA
"Delayed Action",2035,"CHIL","CHIL",6.594,0.085,NA,NA
"Delayed Action",2035,"CHIN","CHIN",12.798,9.18,NA,NA
"Delayed Action",2035,"COLO","COLO",4.583,0.013,NA,NA
"Delayed Action",2035,"CROA","CROA",2.528,1.026,NA,NA
"Delayed Action",2035,"CYPR","CYPR",0.603,0.001,NA,NA
"Delayed Action",2035,"CZRE","CZRE",3.456,2.021,NA,NA
"Delayed Action",2035,"DENM","DENM",0.695,0.294,NA,NA
"Delayed Action",2035,"EAFR","EAFR",9.685,0.695,NA,NA
"Delayed Action",2035,"ECUA","ECUA",2.521,0.004,NA,NA
"Delayed Action",2035,"EGYP","EGYP",9.4,0.964,NA,NA
"Delayed Action",2035,"ESTO","ESTO",0.957,0.047,NA,NA
"Delayed Action",2035,"FINL","FINL",0.594,0.12,NA,NA
"Delayed Action",2035,"FRAN","FRAN",1.994,3.764,NA,NA
"Delayed Action",2035,"GEOR","GEOR",5.154,0.152,NA,NA
"Delayed Action",2035,"GERM","GERM",1.546,5.411,NA,NA
"Delayed Action",2035,"GREE","GREE",2.373,0.477,NA,NA
"Delayed Action",2035,"HUNG","HUNG",4.254,2.71,NA,NA
"Delayed Action",2035,"ICEL","ICEL",1.698,0.022,NA,NA
"Delayed Action",2035,"INDI","INDI",21.797,27.103,NA,NA
"Delayed Action",2035,"INDO","INDO",12.149,0.883,NA,NA
"Delayed Action",2035,"IRAN","IRAN",13.755,0.942,NA,NA
"Delayed Action",2035,"IREL","IREL",0.681,0.158,NA,NA
"Delayed Action",2035,"ISRA","ISRA",6.012,0.341,NA,NA
"Delayed Action",2035,"ITAL","ITAL",2.9,1.98,NA,NA
"Delayed Action",2035,"JAPA","JAPA",2.531,0.07,NA,NA
"Delayed Action",2035,"KAZA","KAZA",6.828,0.885,NA,NA
"Delayed Action",2035,"KENY","KENY",10.088,0.387,NA,NA
"Delayed Action",2035,"KORN","KORN",2.918,0.56,NA,NA
"Delayed Action",2035,"KORS","KORS",7.935,0.561,NA,NA
"Delayed Action",2035,"KYRG","KYRG",4.699,0.677,NA,NA
"Delayed Action",2035,"LAOS","LAOS",0.85,0.139,NA,NA
"Delayed Action",2035,"LATV","LATV",1.658,0.154,NA,NA
"Delayed Action",2035,"LITH","LITH",1.11,0.299,NA,NA
"Delayed Action",2035,"LUXE","LUXE",0.623,0.036,NA,NA
"Delayed Action",2035,"MACE","MACE",6.333,0.328,NA,NA
"Delayed Action",2035,"MALA","MALA",7.501,2.316,NA,NA
"Delayed Action",2035,"MALT","MALT",0.911,0,NA,NA
"Delayed Action",2035,"MEXI","MEXI",6.458,0.03,NA,NA
"Delayed Action",2035,"MIDE","MIDE",6.271,2.77,NA,NA
"Delayed Action",2035,"MOLD","MOLD",1.999,0.149,NA,NA
"Delayed Action",2035,"MONG","MONG",9.263,0.039,NA,NA
"Delayed Action",2035,"MONT","MONT",8.97,0.136,NA,NA
"Delayed Action",2035,"MYAN","MYAN",2.29,0.107,NA,NA
"Delayed Action",2035,"NAFR","NAFR",9.727,0.341,NA,NA
"Delayed Action",2035,"NEPA","NEPA",20.743,0.867,NA,NA
"Delayed Action",2035,"NETH","NETH",1.703,1.517,NA,NA
"Delayed Action",2035,"NIGE","NIGE",9.84,0.738,NA,NA
"Delayed Action",2035,"NORW","NORW",0.46,0.076,NA,NA
"Delayed Action",2035,"NZEL","NZEL",0.741,0,NA,NA
"Delayed Action",2035,"PAKI","PAKI",27.178,4.19,NA,NA
"Delayed Action",2035,"PARA","PARA",3.411,0.018,NA,NA
"Delayed Action",2035,"PERU","PERU",9.075,0.091,NA,NA
"Delayed Action",2035,"PHIL","PHIL",4.743,0.087,NA,NA
"Delayed Action",2035,"POLA","POLA",3.501,5.154,NA,NA
"Delayed Action",2035,"PORT","PORT",1.729,0.04,NA,NA
"Delayed Action",2035,"ROMA","ROMA",6.434,3.288,NA,NA
"Delayed Action",2035,"RSAF","RSAF",6.202,0.653,NA,NA
"Delayed Action",2035,"RUSS","RUSS",2.732,2.461,NA,NA
"Delayed Action",2035,"SAAR","SAAR",2.474,0.484,NA,NA
"Delayed Action",2035,"SAFR","SAFR",3.784,0.121,NA,NA
"Delayed Action",2035,"SERB","SERB",7.217,3.077,NA,NA
"Delayed Action",2035,"SING","SING",15.106,0.295,NA,NA
"Delayed Action",2035,"SKRE","SKRE",1.896,0.781,NA,NA
"Delayed Action",2035,"SLOV","SLOV",4.33,0.599,NA,NA
"Delayed Action",2035,"SPAI","SPAI",2.03,0.571,NA,NA
"Delayed Action",2035,"SRIL","SRIL",7.115,0.011,NA,NA
"Delayed Action",2035,"SWED","SWED",0.653,0.282,NA,NA
"Delayed Action",2035,"SWIT","SWIT",2.228,0.398,NA,NA
"Delayed Action",2035,"TAIW","TAIW",14.44,0.043,NA,NA
"Delayed Action",2035,"TAJI","TAJI",5.798,0.446,NA,NA
"Delayed Action",2035,"TANZ","TANZ",8.687,0.527,NA,NA
"Delayed Action",2035,"THAI","THAI",4.455,0.768,NA,NA
"Delayed Action",2035,"TKME","TKME",3.961,0.259,NA,NA
"Delayed Action",2035,"TURK","TURK",5.194,2.151,NA,NA
"Delayed Action",2035,"UKRA","UKRA",1.982,2.298,NA,NA
"Delayed Action",2035,"UNKI","UNKI",1.804,2.014,NA,NA
"Delayed Action",2035,"URUG","URUG",2.804,0.124,NA,NA
"Delayed Action",2035,"USAM","USAM",3.144,0.989,NA,NA
"Delayed Action",2035,"UZBE","UZBE",3.459,2.325,NA,NA
"Delayed Action",2035,"VENE","VENE",4.706,0.114,NA,NA
"Delayed Action",2035,"VIET","VIET",10.17,2.117,NA,NA
"Delayed Action",2035,"WAFR","WAFR",9.748,0.366,NA,NA
"Integrated Action",2035,"AFGH","AFGH",9.573,0.497,2608,3244
"Integrated Action",2035,"ALBA","ALBA",6.196,0.27,638,752
"Integrated Action",2035,"ARGE","ARGE",1.402,0.126,5353,10118
"Integrated Action",2035,"ARME","ARME",3.094,0.155,125,234
"Integrated Action",2035,"AUST","AUST",1.103,0.886,1854,2133
"Integrated Action",2035,"AUTR","AUTR",0.915,0,6397,9689
"Integrated Action",2035,"AZER","AZER",1.836,0.622,694,-1062
"Integrated Action",2035,"BANG","BANG",11.025,0.454,5370,9166
"Integrated Action",2035,"BELA","BELA",1.454,0.551,1012,1705
"Integrated Action",2035,"BELG","BELG",1.379,1.132,1900,1600
"Integrated Action",2035,"BHUT","BHUT",0.826,0.031,254,290
"Integrated Action",2035,"BOHE","BOHE",9.888,1.722,1103,1157
"Integrated Action",2035,"BOLV","BOLV",1.302,0.001,834,1015
"Integrated Action",2035,"BRAZ","BRAZ",2.325,0.464,17595,42727
"Integrated Action",2035,"BRUN","BRUN",0.863,0.002,147,418
"Integrated Action",2035,"BULG","BULG",2.531,0.565,1156,466
"Integrated Action",2035,"CAMB","CAMB",1.332,0.056,614,837
"Integrated Action",2035,"CANA","CANA",2.313,0.107,22581,15851
"Integrated Action",2035,"CARB","CARB",1.184,0.05,1927,3039
"Integrated Action",2035,"CEAM","CEAM",2.008,0.006,2720,6166
"Integrated Action",2035,"CHIL","CHIL",5.089,0.071,2854,8235
"Integrated Action",2035,"CHIN","CHIN",10.754,7.916,246207,309588
"Integrated Action",2035,"COLO","COLO",2.63,0.007,2988,3421
"Integrated Action",2035,"CROA","CROA",2.196,0.919,694,729
"Integrated Action",2035,"CYPR","CYPR",0.522,0.001,137,227
"Integrated Action",2035,"CZRE","CZRE",3.315,1.876,2557,3089
"Integrated Action",2035,"DENM","DENM",0.631,0.272,1180,1706
"Integrated Action",2035,"EAFR","EAFR",2.655,0.19,7348,12571
"Integrated Action",2035,"ECUA","ECUA",1.421,0.003,1433,2060
"Integrated Action",2035,"EGYP","EGYP",3.595,0.474,4537,8747
"Integrated Action",2035,"ESTO","ESTO",0.872,0.039,330,465
"Integrated Action",2035,"FINL","FINL",0.548,0.101,1477,-122
"Integrated Action",2035,"FRAN","FRAN",1.791,3.219,10494,12439
"Integrated Action",2035,"GEOR","GEOR",2.621,0.112,304,318
"Integrated Action",2035,"GERM","GERM",1.409,4.869,9359,-10109
"Integrated Action",2035,"GREE","GREE",1.959,0.333,1457,2146
"Integrated Action",2035,"HUNG","HUNG",3.818,2.468,1973,2008
"Integrated Action",2035,"ICEL","ICEL",1.683,0.022,66,84
"Integrated Action",2035,"INDI","INDI",13.005,16.561,109920,135078
"Integrated Action",2035,"INDO","INDO",7.305,0.593,16312,29020
"Integrated Action",2035,"IRAN","IRAN",6.304,0.58,11302,45942
"Integrated Action",2035,"IREL","IREL",0.613,0.143,968,1391
"Integrated Action",2035,"ISRA","ISRA",4.242,0.25,1596,2233
"Integrated Action",2035,"ITAL","ITAL",2.626,1.759,9010,9954
"Integrated Action",2035,"JAPA","JAPA",2.386,0.064,13243,22284
"Integrated Action",2035,"KAZA","KAZA",5.159,0.678,1787,-7085
"Integrated Action",2035,"KENY","KENY",2.675,0.126,1819,2717
"Integrated Action",2035,"KORN","KORN",1.399,0.284,659,786
"Integrated Action",2035,"KORS","KORS",7.041,0.478,6652,7986
"Integrated Action",2035,"KYRG","KYRG",2.016,0.44,158,238
"Integrated Action",2035,"LAOS","LAOS",0.45,0.069,639,718
"Integrated Action",2035,"LATV","LATV",1.535,0.138,439,437
"Integrated Action",2035,"LITH","LITH",0.969,0.266,872,-687
"Integrated Action",2035,"LUXE","LUXE",0.568,0.031,140,220
"Integrated Action",2035,"MACE","MACE",5.505,0.275,551,593
"Integrated Action",2035,"MALA","MALA",4.114,1.694,5602,11343
"Integrated Action",2035,"MALT","MALT",0.864,0,54,55
"Integrated Action",2035,"MEXI","MEXI",3.667,0.016,8958,30839
"Integrated Action",2035,"MIDE","MIDE",2.787,1.405,11539,54483
"Integrated Action",2035,"MOLD","MOLD",1.706,0.124,523,755
"Integrated Action",2035,"MONG","MONG",5.802,0.023,760,882
"Integrated Action",2035,"MONT","MONT",8.461,0.109,203,214
"Integrated Action",2035,"MYAN","MYAN",1.119,0.05,1668,2880
"Integrated Action",2035,"NAFR","NAFR",2.857,0.121,8678,28196
"Integrated Action",2035,"NEPA","NEPA",7.954,0.391,1571,1912
"Integrated Action",2035,"NETH","NETH",1.647,1.454,2786,3353
"Integrated Action",2035,"NIGE","NIGE",3.175,0.314,3847,13265
"Integrated Action",2035,"NORW","NORW",0.443,0.066,1066,790
"Integrated Action",2035,"NZEL","NZEL",0.541,0,977,1361
"Integrated Action",2035,"PAKI","PAKI",11.499,2.222,8265,8066
"Integrated Action",2035,"PARA","PARA",1.398,0.008,605,788
"Integrated Action",2035,"PERU","PERU",4.385,0.058,1966,2553
"Integrated Action",2035,"PHIL","PHIL",2.449,0.036,3971,9048
"Integrated Action",2035,"POLA","POLA",3.127,4.629,9963,6725
"Integrated Action",2035,"PORT","PORT",1.461,0.035,1388,1444
"Integrated Action",2035,"ROMA","ROMA",6.008,2.855,4248,3239
"Integrated Action",2035,"RSAF","RSAF",1.965,0.249,4408,7437
"Integrated Action",2035,"RUSS","RUSS",2.114,1.611,13791,-9639
"Integrated Action",2035,"SAAR","SAAR",1.002,0.249,7701,51473
"Integrated Action",2035,"SAFR","SAFR",2.128,0.082,4870,14665
"Integrated Action",2035,"SERB","SERB",6.509,2.501,1374,896
"Integrated Action",2035,"SING","SING",4.493,0.108,1253,5569
"Integrated Action",2035,"SKRE","SKRE",1.8,0.68,782,771
"Integrated Action",2035,"SLOV","SLOV",4.009,0.536,515,214
"Integrated Action",2035,"SPAI","SPAI",1.787,0.527,7428,8284
"Integrated Action",2035,"SRIL","SRIL",2.491,0.004,918,1738
"Integrated Action",2035,"SWED","SWED",0.63,0.271,1144,687
"Integrated Action",2035,"SWIT","SWIT",1.986,0.349,1235,478
"Integrated Action",2035,"TAIW","TAIW",10.147,0.03,4522,13791
"Integrated Action",2035,"TAJI","TAJI",2.086,0.306,167,853
"Integrated Action",2035,"TANZ","TANZ",2.443,0.174,1951,4164
"Integrated Action",2035,"THAI","THAI",2.634,0.427,8799,15772
"Integrated Action",2035,"TKME","TKME",1.246,0.117,453,-191
"Integrated Action",2035,"TURK","TURK",4.348,1.74,9191,11381
"Integrated Action",2035,"UKRA","UKRA",1.651,1.829,3807,3637
"Integrated Action",2035,"UNKI","UNKI",1.706,1.872,7240,8946
"Integrated Action",2035,"URUG","URUG",1.169,0.06,351,982
"Integrated Action",2035,"USAM","USAM",2.667,0.837,99711,99881
"Integrated Action",2035,"UZBE","UZBE",2.763,2.002,861,706
"Integrated Action",2035,"VENE","VENE",2.444,0.07,3104,3399
"Integrated Action",2035,"VIET","VIET",6.529,1.065,7824,11672
"Integrated Action",2035,"WAFR","WAFR",2.948,0.11,8611,17177
"Long-term Climate Action",2035,"AFGH","AFGH",37.056,1.536,202,243
"Long-term Climate Action",2035,"ALBA","ALBA",9.424,0.475,527,562
"Long-term Climate Action",2035,"ARGE","ARGE",2.627,0.286,2479,3056
"Long-term Climate Action",2035,"ARME","ARME",6.843,0.284,33,35
"Long-term Climate Action",2035,"AUST","AUST",1.383,1.209,1672,2757
"Long-term Climate Action",2035,"AUTR","AUTR",1.491,0,4755,10425
"Long-term Climate Action",2035,"AZER","AZER",4.02,1.158,380,-1685
"Long-term Climate Action",2035,"BANG","BANG",33.367,1.136,364,751
"Long-term Climate Action",2035,"BELA","BELA",3.022,1.071,438,407
"Long-term Climate Action",2035,"BELG","BELG",1.918,1.65,1868,2993
"Long-term Climate Action",2035,"BHUT","BHUT",1.992,0.115,22,26
"Long-term Climate Action",2035,"BOHE","BOHE",14.214,2.935,859,991
"Long-term Climate Action",2035,"BOLV","BOLV",2.753,0.004,331,370
"Long-term Climate Action",2035,"BRAZ","BRAZ",5.456,1.129,13228,16854
"Long-term Climate Action",2035,"BRUN","BRUN",2.003,0.004,72,68
"Long-term Climate Action",2035,"BULG","BULG",4.779,1.28,910,547
"Long-term Climate Action",2035,"CAMB","CAMB",3.564,0.136,414,506
"Long-term Climate Action",2035,"CANA","CANA",4.733,0.184,16522,19285
"Long-term Climate Action",2035,"CARB","CARB",3.537,0.131,761,1084
"Long-term Climate Action",2035,"CEAM","CEAM",6.453,0.02,1382,1769
"Long-term Climate Action",2035,"CHIL","CHIL",12.64,0.132,1638,2413
"Long-term Climate Action",2035,"CHIN","CHIN",17.492,12.837,201896,228949
"Long-term Climate Action",2035,"COLO","COLO",5.361,0.02,2140,2260
"Long-term Climate Action",2035,"CROA","CROA",3.344,1.498,570,653
"Long-term Climate Action",2035,"CYPR","CYPR",0.699,0.002,113,203
"Long-term Climate Action",2035,"CZRE","CZRE",4.502,2.745,2276,3034
"Long-term Climate Action",2035,"DENM","DENM",0.936,0.444,1220,2324
"Long-term Climate Action",2035,"EAFR","EAFR",10.532,0.781,1584,3924
"Long-term Climate Action",2035,"ECUA","ECUA",3.107,0.005,965,1087
"Long-term Climate Action",2035,"EGYP","EGYP",13.478,1.491,1188,3043
"Long-term Climate Action",2035,"ESTO","ESTO",1.402,0.07,224,366
"Long-term Climate Action",2035,"FINL","FINL",0.638,0.148,1260,157
"Long-term Climate Action",2035,"FRAN","FRAN",2.291,4.74,9231,14225
"Long-term Climate Action",2035,"GEOR","GEOR",6.262,0.265,194,216
"Long-term Climate Action",2035,"GERM","GERM",1.991,7.395,8753,-2321
"Long-term Climate Action",2035,"GREE","GREE",2.706,0.619,1048,2245
"Long-term Climate Action",2035,"HUNG","HUNG",4.829,3.491,1608,1774
"Long-term Climate Action",2035,"ICEL","ICEL",2.056,0.026,61,75
"Long-term Climate Action",2035,"INDI","INDI",27.727,33.534,79044,108113
"Long-term Climate Action",2035,"INDO","INDO",18.777,1.628,9659,11239
"Long-term Climate Action",2035,"IRAN","IRAN",23.258,1.794,5552,5819
"Long-term Climate Action",2035,"IREL","IREL",0.754,0.194,972,1908
"Long-term Climate Action",2035,"ISRA","ISRA",9.755,0.568,1353,1692
"Long-term Climate Action",2035,"ITAL","ITAL",3.487,2.694,7990,11693
"Long-term Climate Action",2035,"JAPA","JAPA",3.542,0.084,12368,27861
"Long-term Climate Action",2035,"KAZA","KAZA",7.644,1.149,1032,-8324
"Long-term Climate Action",2035,"KENY","KENY",10.478,0.413,431,823
"Long-term Climate Action",2035,"KORN","KORN",4.334,0.826,30,46
"Long-term Climate Action",2035,"KORS","KORS",11.681,0.826,5638,12763
"Long-term Climate Action",2035,"KYRG","KYRG",5.422,0.915,38,27
"Long-term Climate Action",2035,"LAOS","LAOS",1.204,0.204,298,314
"Long-term Climate Action",2035,"LATV","LATV",2.648,0.229,360,372
"Long-term Climate Action",2035,"LITH","LITH",1.772,0.524,814,-192
"Long-term Climate Action",2035,"LUXE","LUXE",0.736,0.05,132,287
"Long-term Climate Action",2035,"MACE","MACE",7.73,0.422,449,474
"Long-term Climate Action",2035,"MALA","MALA",12.788,3.672,2128,2734
"Long-term Climate Action",2035,"MALT","MALT",1.333,0,45,51
"Long-term Climate Action",2035,"MEXI","MEXI",8.622,0.043,6748,8330
"Long-term Climate Action",2035,"MIDE","MIDE",8.999,3.94,5789,4994
"Long-term Climate Action",2035,"MOLD","MOLD",2.563,0.205,407,595
"Long-term Climate Action",2035,"MONG","MONG",11.525,0.052,237,268
"Long-term Climate Action",2035,"MONT","MONT",11.946,0.165,162,183
"Long-term Climate Action",2035,"MYAN","MYAN",3.559,0.162,590,715
"Long-term Climate Action",2035,"NAFR","NAFR",10.327,0.374,1783,806
"Long-term Climate Action",2035,"NEPA","NEPA",24.296,1.038,416,464
"Long-term Climate Action",2035,"NETH","NETH",1.921,1.662,2646,8253
"Long-term Climate Action",2035,"NIGE","NIGE",10.569,0.798,636,2569
"Long-term Climate Action",2035,"NORW","NORW",0.728,0.124,1003,1309
"Long-term Climate Action",2035,"NZEL","NZEL",0.911,0,795,1231
"Long-term Climate Action",2035,"PAKI","PAKI",39.735,6.307,1232,4994
"Long-term Climate Action",2035,"PARA","PARA",3.565,0.02,199,262
"Long-term Climate Action",2035,"PERU","PERU",10.017,0.155,629,987
"Long-term Climate Action",2035,"PHIL","PHIL",6.787,0.124,2511,2840
"Long-term Climate Action",2035,"POLA","POLA",4.845,7.257,8235,6924
"Long-term Climate Action",2035,"PORT","PORT",1.937,0.061,1177,1695
"Long-term Climate Action",2035,"ROMA","ROMA",7.753,4.524,3707,3105
