"IDSCENARIOS","IDYEARS","REGION_4LETTER","REGION_4LETTER","PM25_SELF","PM25_EXPORT","AP_CONTROL_COSTS_MEUR2015","AP_PLUS_CH4_CONTROL_COSTS_MEUR2015"
"Baseline",2025,"KORN","KORN",4.299,0.949,39,53
"Baseline",2025,"KORS","KORS",10.818,0.694,7458,12924
"Baseline",2025,"KYRG","KYRG",9.44,1.366,45,29
"Baseline",2025,"LAOS","LAOS",1.569,0.286,129,141
"Baseline",2025,"LATV","LATV",3.467,0.259,272,279
"Baseline",2025,"LITH","LITH",2.466,0.567,694,-211
"Baseline",2025,"LUXE","LUXE",1.285,0.089,261,382
"Baseline",2025,"MACE","MACE",8.771,0.583,351,366
"Baseline",2025,"MALA","MALA",12.841,4.918,2267,2866
"Baseline",2025,"MALT","MALT",1.338,0,54,63
"Baseline",2025,"MEXI","MEXI",9.285,0.051,5976,7410
"Baseline",2025,"MIDE","MIDE",7.932,3.525,4738,3254
"Baseline",2025,"MOLD","MOLD",5.49,0.371,262,417
"Baseline",2025,"MONG","MONG",15.506,0.071,353,379
"Baseline",2025,"MONT","MONT",14.294,0.508,84,91
"Baseline",2025,"MYAN","MYAN",4.252,0.194,335,436
"Baseline",2025,"NAFR","NAFR",9.343,0.386,1510,162
"Baseline",2025,"NEPA","NEPA",15.426,0.857,198,237
"Baseline",2025,"NETH","NETH",2.647,2.066,3366,6192
"Baseline",2025,"NIGE","NIGE",7.92,0.628,402,2079
"Baseline",2025,"NORW","NORW",1.149,0.187,804,1104
"Baseline",2025,"NZEL","NZEL",1.27,0,841,1195
"Baseline",2025,"PAKI","PAKI",39.582,6.825,699,4565
"Baseline",2025,"PARA","PARA",3.338,0.022,159,215
"Baseline",2025,"PERU","PERU",9.811,0.182,519,832
"Baseline",2025,"PHIL","PHIL",7.095,0.196,2198,2480
"Baseline",2025,"POLA","POLA",8.018,11.889,9271,7867
"Baseline",2025,"PORT","PORT",3.945,0.106,1261,1765
"Baseline",2025,"ROMA","ROMA",8.451,5.067,3156,2277
"Baseline",2025,"RSAF","RSAF",5.151,0.719,664,1464
"Baseline",2025,"RUSS","RUSS",6.504,5.793,9150,-26492
"Baseline",2025,"SAAR","SAAR",3.563,0.73,3856,2190
"Baseline",2025,"SAFR","SAFR",9.375,0.729,3432,4661
"Baseline",2025,"SERB","SERB",11.324,7.531,1061,1183
"Baseline",2025,"SING","SING",6.889,0.184,1035,5397
"Baseline",2025,"SKRE","SKRE",2.638,1.491,674,640
