"effect","obs","comp","fe","idx"
1.97380133828428,23,1,"REGION_4LETTER","AFGH"
3.18919277301027,23,1,"REGION_4LETTER","ALBA"
4.35706644608815,23,1,"REGION_4LETTER","ARGE"
2.66571754668227,23,1,"REGION_4LETTER","ARME"
4.26359442028718,23,1,"REGION_4LETTER","AUST"
4.46201377055308,23,1,"REGION_4LETTER","AUTR"
2.37007345903046,23,1,"REGION_4LETTER","AZER"
3.44708678923478,23,1,"REGION_4LETTER","BANG"
3.96402491176053,23,1,"REGION_4LETTER","BELA"
4.2579969218547,23,1,"REGION_4LETTER","BELG"
2.18558165018935,23,1,"REGION_4LETTER","BHUT"
3.3998335458366,23,1,"REGION_4LETTER","BOHE"
3.2095780917183,23,1,"REGION_4LETTER","BOLV"
5.10806232736437,23,1,"REGION_4LETTER","BRAZ"
2.69354967737936,23,1,"REGION_4LETTER","BRUN"
3.79567830056753,23,1,"REGION_4LETTER","BULG"
2.7992208307367,23,1,"REGION_4LETTER","CAMB"
5.02956339660248,23,1,"REGION_4LETTER","CANA"
4.259028767676,23,1,"REGION_4LETTER","CARB"
4.30885293483829,23,1,"REGION_4LETTER","CEAM"
3.87836349319148,23,1,"REGION_4LETTER","CHIL"
5.86218802991099,23,1,"REGION_4LETTER","CHIN"
4.53932802702154,23,1,"REGION_4LETTER","COLO"
3.69508648209571,23,1,"REGION_4LETTER","CROA"
2.78801992157732,23,1,"REGION_4LETTER","CYPR"
4.2045573627036,23,1,"REGION_4LETTER","CZRE"
3.66766640267456,23,1,"REGION_4LETTER","DENM"
3.02991295118966,23,1,"REGION_4LETTER","EAFR"
3.87995628900632,23,1,"REGION_4LETTER","ECUA"
3.06613159364623,23,1,"REGION_4LETTER","EGYP"
3.24455273652693,23,1,"REGION_4LETTER","ESTO"
4.11292497052501,23,1,"REGION_4LETTER","FINL"
4.85560541442773,23,1,"REGION_4LETTER","FRAN"
2.82749195702444,23,1,"REGION_4LETTER","GEOR"
5.39630904015987,23,1,"REGION_4LETTER","GERM"
3.99035299245796,23,1,"REGION_4LETTER","GREE"
4.04199686006541,23,1,"REGION_4LETTER","HUNG"
2.85199656993004,23,1,"REGION_4LETTER","ICEL"
4.26096416343377,23,1,"REGION_4LETTER","INDI"
4.40179270188615,23,1,"REGION_4LETTER","INDO"
2.46890187592254,23,1,"REGION_4LETTER","IRAN"
3.80909282849744,23,1,"REGION_4LETTER","IREL"
2.82936547516557,23,1,"REGION_4LETTER","ISRA"
4.99667034080031,23,1,"REGION_4LETTER","ITAL"
5.46194564693595,23,1,"REGION_4LETTER","JAPA"
2.95468006013758,23,1,"REGION_4LETTER","KAZA"
3.46513948615876,23,1,"REGION_4LETTER","KENY"
4.52784886882439,23,1,"REGION_4LETTER","KORS"
2.50730274799348,23,1,"REGION_4LETTER","KYRG"
1.72372503284472,23,1,"REGION_4LETTER","LAOS"
3.36842206123952,23,1,"REGION_4LETTER","LATV"
3.55157430146562,23,1,"REGION_4LETTER","LITH"
2.97893430643931,23,1,"REGION_4LETTER","LUXE"
3.2670437184297,23,1,"REGION_4LETTER","MACE"
4.0128591458116,23,1,"REGION_4LETTER","MALA"
2.30866386884509,23,1,"REGION_4LETTER","MALT"
4.6391236556924,23,1,"REGION_4LETTER","MEXI"
2.91782179191688,23,1,"REGION_4LETTER","MIDE"
3.01490950410115,23,1,"REGION_4LETTER","MOLD"
1.96016916805045,23,1,"REGION_4LETTER","MONG"
2.69823289791026,23,1,"REGION_4LETTER","MONT"
3.40148052011476,23,1,"REGION_4LETTER","MYAN"
3.55152757684821,23,1,"REGION_4LETTER","NAFR"
2.62089698215942,23,1,"REGION_4LETTER","NEPA"
4.39783694305402,23,1,"REGION_4LETTER","NETH"
2.40586283902799,23,1,"REGION_4LETTER","NIGE"
4.1806723948124,23,1,"REGION_4LETTER","NORW"
3.82465094854977,23,1,"REGION_4LETTER","NZEL"
1.98064878876377,23,1,"REGION_4LETTER","PAKI"
