"effect","obs","comp","fe","idx"
-25.6410538818334,9,1,"REGION_4LETTER","ALBA"
-33.1665521122892,9,1,"REGION_4LETTER","ARGE"
-25.850089326583,9,1,"REGION_4LETTER","ARME"
-28.8801813658366,9,1,"REGION_4LETTER","AUST"
-32.5770571490789,9,1,"REGION_4LETTER","AUTR"
-30.3317607166398,9,1,"REGION_4LETTER","AZER"
-34.9117595735456,9,1,"REGION_4LETTER","BANG"
-27.9974185330424,9,1,"REGION_4LETTER","BELA"
-29.3979400398318,9,1,"REGION_4LETTER","BELG"
-24.0313461222745,9,1,"REGION_4LETTER","BHUT"
-26.1034200759597,9,1,"REGION_4LETTER","BOHE"
-30.7689467804892,9,1,"REGION_4LETTER","BOLV"
-35.1163141730509,9,1,"REGION_4LETTER","BRAZ"
-25.4669415120752,9,1,"REGION_4LETTER","BRUN"
-27.2868510266417,9,1,"REGION_4LETTER","BULG"
-30.812328813768,9,1,"REGION_4LETTER","CAMB"
-31.9110176407686,9,1,"REGION_4LETTER","CANA"
-32.0213450573146,9,1,"REGION_4LETTER","CARB"
-31.7629627339119,9,1,"REGION_4LETTER","CEAM"
-38.5934562172312,9,1,"REGION_4LETTER","CHIN"
-32.3987407623709,9,1,"REGION_4LETTER","COLO"
-26.8044264868417,9,1,"REGION_4LETTER","CROA"
-25.933948832013,9,1,"REGION_4LETTER","CYPR"
-28.6748931897961,9,1,"REGION_4LETTER","CZRE"
-28.9652526022428,9,1,"REGION_4LETTER","DENM"
-39.4664219135834,9,1,"REGION_4LETTER","EAFR"
-31.0735841043073,9,1,"REGION_4LETTER","ECUA"
-35.1591759181415,9,1,"REGION_4LETTER","EGYP"
-25.1779243164361,9,1,"REGION_4LETTER","ESTO"
-28.5929787974653,9,1,"REGION_4LETTER","FINL"
-32.8333572534703,9,1,"REGION_4LETTER","FRAN"
-26.4242588247542,9,1,"REGION_4LETTER","GEOR"
-32.7055329905364,9,1,"REGION_4LETTER","GERM"
-28.7762824544428,9,1,"REGION_4LETTER","GREE"
-28.2724156741586,9,1,"REGION_4LETTER","HUNG"
-24.8837927184396,9,1,"REGION_4LETTER","ICEL"
-39.6857509902192,9,1,"REGION_4LETTER","INDI"
-36.0560095621044,9,1,"REGION_4LETTER","INDO"
-40.4443612184668,9,1,"REGION_4LETTER","IRAN"
-28.6700267363225,9,1,"REGION_4LETTER","IREL"
-31.488914190062,9,1,"REGION_4LETTER","ISRA"
-32.1005156481593,9,1,"REGION_4LETTER","ITAL"
-33.1048597832874,9,1,"REGION_4LETTER","JAPA"
-33.6424231085355,9,1,"REGION_4LETTER","KENY"
-31.9234724065045,9,1,"REGION_4LETTER","KORS"
-30.2598023504135,9,1,"REGION_4LETTER","LAOS"
-25.4846500492273,9,1,"REGION_4LETTER","LATV"
-26.1339304246592,9,1,"REGION_4LETTER","LITH"
-24.9343701701094,9,1,"REGION_4LETTER","LUXE"
-25.0205822733548,9,1,"REGION_4LETTER","MACE"
-32.019029013678,9,1,"REGION_4LETTER","MALA"
-24.2185141598557,9,1,"REGION_4LETTER","MALT"
-34.5409119014756,9,1,"REGION_4LETTER","MEXI"
-39.1568162455862,9,1,"REGION_4LETTER","MIDE"
-26.1025721638222,9,1,"REGION_4LETTER","MOLD"
-27.4215184366526,9,1,"REGION_4LETTER","MONG"
-22.8607044034574,9,1,"REGION_4LETTER","MONT"
-33.0698164103639,9,1,"REGION_4LETTER","MYAN"
-35.8377163233296,9,1,"REGION_4LETTER","NAFR"
-31.7920348132641,9,1,"REGION_4LETTER","NEPA"
-30.1174793186302,9,1,"REGION_4LETTER","NETH"
-41.2585516979025,9,1,"REGION_4LETTER","NIGE"
-29.1091181369247,9,1,"REGION_4LETTER","NORW"
-29.0112868611463,9,1,"REGION_4LETTER","NZEL"
-38.9232711023584,9,1,"REGION_4LETTER","PAKI"
-28.5315384574912,9,1,"REGION_4LETTER","PARA"
-32.5772099365371,9,1,"REGION_4LETTER","PERU"
-33.2698267022103,9,1,"REGION_4LETTER","PHIL"
-30.6301334716961,9,1,"REGION_4LETTER","POLA"
-28.7100407101873,9,1,"REGION_4LETTER","PORT"
-29.7428374669744,9,1,"REGION_4LETTER","ROMA"
-36.6064769997083,9,1,"REGION_4LETTER","RSAF"
-33.3473674455695,9,1,"REGION_4LETTER","RUSS"
-41.8864363223894,9,1,"REGION_4LETTER","SAAR"
-32.8414561387576,9,1,"REGION_4LETTER","SAFR"
-27.3171821112904,9,1,"REGION_4LETTER","SERB"
-28.0468987206864,9,1,"REGION_4LETTER","SING"
-27.4149758486086,9,1,"REGION_4LETTER","SKRE"
-25.8426393582369,9,1,"REGION_4LETTER","SLOV"
-31.7932036930537,9,1,"REGION_4LETTER","SPAI"
-29.9945754978865,9,1,"REGION_4LETTER","SRIL"
-29.5897939560702,9,1,"REGION_4LETTER","SWED"
-29.3944979443263,9,1,"REGION_4LETTER","SWIT"
-30.406513244261,9,1,"REGION_4LETTER","TAIW"
-34.2945046987347,9,1,"REGION_4LETTER","TANZ"
-32.7610806439198,9,1,"REGION_4LETTER","THAI"
-32.6524597244151,9,1,"REGION_4LETTER","TURK"
-29.9005359165709,9,1,"REGION_4LETTER","UKRA"
-32.9868116058675,9,1,"REGION_4LETTER","UNKI"
-27.9564913742857,9,1,"REGION_4LETTER","URUG"
-36.580833314707,9,1,"REGION_4LETTER","USAM"
-32.2097957490799,9,1,"REGION_4LETTER","VIET"
-41.1390780549487,9,1,"REGION_4LETTER","WAFR"
