"IDYEARS","IDSCENARIOS","LABEL_SCEN_REPORT","CH4_kt/yr","CO2_Mt CO2/yr","FGAS_Mt CO2eq/yr","N2O_kt/yr","NH3_kt/yr","NOX_kt/yr","PM_2_5_kt/yr","PM_BC_kt/yr","SO2_kt/yr","VOC_kt/yr"
2040,"SSP_SSP2_v6.2_SSP2_Low_Emissions_b_h_APCv2","Integrated Action",199207.971,25510.338,9.345,9188.719,36574.364,30192.231,8384.119,986.752,10756.668,67010.607
2040,"SSP_SSP2_v6.2_SSP2_Low_Emissions_b_CLE","Long-term Climate Action",345488.763,25510.338,750.24,9985.559,66238.079,69366.822,27378.444,3880.424,21934.144,111264.526
2045,"SSP_SSP2_v6.1_SSP2_Medium_Emissions_CLE","Baseline",401851.532,37819.533,443.265,10637.698,71449.202,88568.52,35293.828,4723.857,34594.11,121086.985
2045,"SSP_SSP2_v6.2_SSP2_Low_Emissions_b_h_APC_YD_v2","Delayed Action",210417.187,21118,443.265,9081.662,35305.202,31318.684,8499.293,1120.705,10101.501,65146.061
2045,"SSP_SSP2_v6.2_SSP2_Low_Emissions_b_h_APCv2","Integrated Action",180487.379,18975.79,8.515,8959.148,35182.011,27455.662,7973.265,890.822,9771.038,62168.026
2045,"SSP_SSP2_v6.2_SSP2_Low_Emissions_b_CLE","Long-term Climate Action",336028.346,18975.79,443.265,10073.65,67292.248,64787.609,26067.255,3484.392,19633.687,105518.13
2050,"SSP_SSP2_v6.1_SSP2_Medium_Emissions_CLE","Baseline",413347.333,37197.843,305.778,10886.763,73752.363,90500.343,36000.918,4704.12,36371.166,120518.6
2050,"SSP_SSP2_v6.2_SSP2_Low_Emissions_b_h_APC_YD_v2","Delayed Action",182703.086,15439,305.778,8918.765,33884.703,28236.469,8314.996,1057.054,9100.014,62354.742
2050,"SSP_SSP2_v6.2_SSP2_Low_Emissions_b_h_APCv2","Integrated Action",166456.845,12810.791,8.575,8763.12,33754.628,24356.062,7766.37,817.731,8585.063,58815.192
2050,"SSP_SSP2_v6.2_SSP2_Low_Emissions_b_CLE","Long-term Climate Action",326906.832,12810.791,305.778,10103.043,67944.505,58375.891,24808.734,3088.954,17327.551,101244.647
2055,"SSP_SSP2_v6.1_SSP2_Medium_Emissions_CLE","Baseline",422349.027,36939.86,309.426,11103.498,75761.239,91778.045,36143.887,4638.824,38925.049,118967.891
2055,"SSP_SSP2_v6.2_SSP2_Low_Emissions_b_h_APC_YD_v2","Delayed Action",168442.69,10918,309.426,8884.127,32476.263,25733.952,7857.609,974.005,8101.518,60060.459
2055,"SSP_SSP2_v6.2_SSP2_Low_Emissions_b_h_APCv2","Integrated Action",150706.875,7872.619,8.794,8697.769,32333.093,21559.779,7315.427,734.833,7506.418,56040.208
2055,"SSP_SSP2_v6.2_SSP2_Low_Emissions_b_CLE","Long-term Climate Action",318375.978,7872.619,309.426,10140.034,68448.878,52953.366,23091.452,2724.613,15558.498,96956.737
2060,"SSP_SSP2_v6.1_SSP2_Medium_Emissions_CLE","Baseline",432912.083,37512.951,304.871,11347.364,77809.078,92944.269,37664.128,4622.596,42206.021,117414.508
2060,"SSP_SSP2_v6.2_SSP2_Low_Emissions_b_h_APC_YD_v2","Delayed Action",155638.454,6503,304.871,8721.814,31163.503,24387.62,7910.33,954.362,7781.557,57644.295
2060,"SSP_SSP2_v6.2_SSP2_Low_Emissions_b_h_APCv2","Integrated Action",144181.895,3377.607,9.218,8526.297,31007.787,20091.921,7407.061,721.997,7174.398,53645.116
2060,"SSP_SSP2_v6.2_SSP2_Low_Emissions_b_CLE","Long-term Climate Action",311007.203,3377.607,304.871,10196.678,69110.088,50505.353,22186.483,2499.472,14976.78,92296.14
2065,"SSP_SSP2_v6.1_SSP2_Medium_Emissions_CLE","Baseline",NA,NA,303.349,NA,NA,NA,NA,NA,NA,NA
2065,"SSP_SSP2_v6.2_SSP2_Low_Emissions_b_h_APC_YD_v2","Delayed Action",NA,NA,303.349,NA,NA,NA,NA,NA,NA,NA
2065,"SSP_SSP2_v6.2_SSP2_Low_Emissions_b_h_APCv2","Integrated Action",NA,NA,9.483,NA,NA,NA,NA,NA,NA,NA
2065,"SSP_SSP2_v6.2_SSP2_Low_Emissions_b_CLE","Long-term Climate Action",NA,NA,303.349,NA,NA,NA,NA,NA,NA,NA
2070,"SSP_SSP2_v6.1_SSP2_Medium_Emissions_CLE","Baseline",447530.93,36011.369,295.035,11765.342,81882.858,90862.011,38884.453,4052.468,43205.67,109700.82
2070,"SSP_SSP2_v6.2_SSP2_Low_Emissions_b_h_APC_YD_v2","Delayed Action",143260.741,1968,295.035,8071.746,28786.817,21897.777,7710.493,902.073,6888.452,53416.302
2070,"SSP_SSP2_v6.2_SSP2_Low_Emissions_b_h_APCv2","Integrated Action",138532.492,-949.657,9.864,7876.901,28628.838,17459.667,7202.421,696.087,6387.477,49273.164
2070,"SSP_SSP2_v6.2_SSP2_Low_Emissions_b_CLE","Long-term Climate Action",315824.461,-949.657,295.035,10373.511,72163.246,44558.275,19988.305,2027.885,14132.704,84486.007
2075,"SSP_SSP2_v6.1_SSP2_Medium_Emissions_CLE","Baseline",NA,NA,298.011,NA,NA,NA,NA,NA,NA,NA
2075,"SSP_SSP2_v6.2_SSP2_Low_Emissions_b_h_APC_YD_v2","Delayed Action",NA,NA,298.011,NA,NA,NA,NA,NA,NA,NA
2075,"SSP_SSP2_v6.2_SSP2_Low_Emissions_b_h_APCv2","Integrated Action",NA,NA,10.136,NA,NA,NA,NA,NA,NA,NA
2075,"SSP_SSP2_v6.2_SSP2_Low_Emissions_b_CLE","Long-term Climate Action",NA,NA,298.011,NA,NA,NA,NA,NA,NA,NA
2080,"SSP_SSP2_v6.1_SSP2_Medium_Emissions_CLE","Baseline",452798.413,34751.67,287.46,12169.167,85629.2,89773.006,39987.663,3747.88,50010.89,104803.677
2080,"SSP_SSP2_v6.2_SSP2_Low_Emissions_b_h_APC_YD_v2","Delayed Action",135266.996,-1041,287.46,7795.27,27115.551,20670.399,7791.653,934.407,7268.079,52371.801
2080,"SSP_SSP2_v6.2_SSP2_Low_Emissions_b_h_APCv2","Integrated Action",133438.454,-3952.654,10.414,7594.325,26978.928,16461.545,7283.133,747.505,6669.062,47944.079
2080,"SSP_SSP2_v6.2_SSP2_Low_Emissions_b_CLE","Long-term Climate Action",314602.344,-3952.654,287.46,10675.065,75035.751,43098.576,19700.538,1931.703,14748.178,82487.083
2085,"SSP_SSP2_v6.1_SSP2_Medium_Emissions_CLE","Baseline",NA,NA,283.851,NA,NA,NA,NA,NA,NA,NA
2085,"SSP_SSP2_v6.2_SSP2_Low_Emissions_b_h_APC_YD_v2","Delayed Action",NA,NA,283.851,NA,NA,NA,NA,NA,NA,NA
2085,"SSP_SSP2_v6.2_SSP2_Low_Emissions_b_h_APCv2","Integrated Action",NA,NA,10.654,NA,NA,NA,NA,NA,NA,NA
2085,"SSP_SSP2_v6.2_SSP2_Low_Emissions_b_CLE","Long-term Climate Action",NA,NA,283.851,NA,NA,NA,NA,NA,NA,NA
2090,"SSP_SSP2_v6.1_SSP2_Medium_Emissions_CLE","Baseline",469329.065,34745.831,280.895,12447.236,88066.862,92562.927,39487.018,3931.078,51942.297,104841.222
2090,"SSP_SSP2_v6.2_SSP2_Low_Emissions_b_h_APC_YD_v2","Delayed Action",130053.624,-2678,280.895,7634.565,25503.014,20186.799,7959.622,996.285,7566.146,52169.855
2090,"SSP_SSP2_v6.2_SSP2_Low_Emissions_b_h_APCv2","Integrated Action",129950.921,-5818.776,10.9,7408.715,25354.139,15637.543,7409.048,798.269,6886.428,47280.952
2090,"SSP_SSP2_v6.2_SSP2_Low_Emissions_b_CLE","Long-term Climate Action",319877.811,-5818.776,280.895,10848.436,76581.708,41941.99,20210.108,2026.043,15240.369,82327.966
2095,"SSP_SSP2_v6.1_SSP2_Medium_Emissions_CLE","Baseline",NA,NA,278.015,NA,NA,NA,NA,NA,NA,NA
2095,"SSP_SSP2_v6.2_SSP2_Low_Emissions_b_h_APC_YD_v2","Delayed Action",NA,NA,278.015,NA,NA,NA,NA,NA,NA,NA
2095,"SSP_SSP2_v6.2_SSP2_Low_Emissions_b_h_APCv2","Integrated Action",NA,NA,11.164,NA,NA,NA,NA,NA,NA,NA
2095,"SSP_SSP2_v6.2_SSP2_Low_Emissions_b_CLE","Long-term Climate Action",NA,NA,278.015,NA,NA,NA,NA,NA,NA,NA
2100,"SSP_SSP2_v6.1_SSP2_Medium_Emissions_CLE","Baseline",497033.957,35712.965,267.744,12813.075,90512.86,98696.892,40763.279,4237.282,56539.497,107306.185
2100,"SSP_SSP2_v6.2_SSP2_Low_Emissions_b_h_APC_YD_v2","Delayed Action",129219.992,-4175,267.744,7562.114,24106.048,20286.755,8163.885,1067.821,8001.995,52493.166
2100,"SSP_SSP2_v6.2_SSP2_Low_Emissions_b_h_APCv2","Integrated Action",129649.936,-7765.004,11.43,7301.43,23922.456,14993.783,7540.812,835.952,7207.597,46914.138
2100,"SSP_SSP2_v6.2_SSP2_Low_Emissions_b_CLE","Long-term Climate Action",334645.243,-7765.004,267.744,11000.969,77889.945,41103.778,20729.266,2080.246,15686.51,82257.432
