area (ISO3),2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
ITA,1888.2738,1772.7965,1795.7407,1749.7929,1686.0093,1658.8061,1627.2167,1669.3674,1653.4754,1630.1508,1595.7236
JAM,37.287149,38.123094,38.376496,38.369028,38.342161,38.050513,38.116349,38.115669,38.306405,37.199474,36.77198
JOR,151.31859,163.80315,171.48779,175.12411,184.99423,193.88727,203.6681,205.93363,209.93258,214.6361,219.84191
JPN,1316.6526,1277.9367,1247.1528,1242.1696,1201.6668,1175.3174,1155.5361,1153.2702,1128.6271,1108.9712,1090.9726
KAZ,2131.7152,2095.849,2156.6034,2146.25,2161.7251,1923.1448,1971.4932,2268.5152,2266.7704,2232.2266,2162.6474
KEN,1683.2995,1728.4987,1735.1398,1732.3599,1766.0385,1801.7798,1916.4598,1847.4344,1910.3288,2117.3377,2328.3091
KGZ,184.81657,208.45887,194.13295,212.89854,235.03497,238.92208,249.65984,256.24149,265.59791,270.79807,274.19843
KHM,939.10426,1017.8984,958.06837,963.00992,937.09487,938.47544,940.49073,971.05251,973.19596,967.45561,980.05265
KIR,0.85971189,0.87529345,0.90202727,0.92258358,0.94467025,0.97290547,0.99747128,1.0174222,1.0321589,1.0541959,1.075008
KNA,1.6976974,1.6775571,1.4439176,1.4403065,1.4145822,1.4411095,1.4414222,1.4534796,1.4744308,1.4949181,1.5092768
KOR,1237.7678,1245.1069,1274.4722,1280.4386,1295.8399,1315.0191,1320.3469,1344.4323,1354.1493,1359.3669,1489.8586
KWT,1032.4403,1145.4012,1240.6566,1249.2591,1234.4429,1267.3927,1308.0978,1252.0473,1275.4966,1284.0384,1261.9802
LAO,423.15459,339.79547,382.44189,386.89049,392.1042,399.16361,441.9342,401.32918,401.67559,431.72474,496.36755
LBN,105.98534,112.98296,119.851,126.81476,133.68398,138.10395,141.55385,143.66779,144.34999,146.45009,148.48556
LBR,77.464198,81.326504,83.665732,86.474791,97.087576,114.73826,95.47795,97.207677,99.253172,108.81015,106.71466
LBY,1397.5655,573.41324,1215.798,966.97264,681.38433,621.56149,608.05902,861.03859,981.24879,1060.0645,589.55302
LCA,2.6757345,2.7514306,2.7628433,2.769588,2.8117656,2.8067735,2.8119357,2.8325754,2.8322594,2.8453794,2.8370236
LDC,36965.965,36977.381,38006.073,38569.673,38991.01,39700.307,40276.9,40816.032,40454.751,41112.353,41843.385
LIE,0.88329622,0.87305694,0.87435468,0.90191086,0.90917563,0.9120961,0.91449423,0.9181422,0.92403349,0.92259452,0.92543941
LKA,440.10151,434.1163,438.55457,448.36683,411.28002,450.73555,433.39351,397.21127,431.60192,423.4267,439.9122
LSO,63.357305,64.400563,64.786178,62.0735,61.697022,61.123401,60.623052,64.177953,60.30323,57.494913,51.12097
LTU,153.56153,152.34935,150.72033,146.21,142.73405,142.61007,127.40209,122.31798,117.96657,113.51936,106.87871
LUX,22.721119,21.534671,20.813525,21.158187,21.303045,20.617496,21.395636,21.545917,21.266729,21.258218,20.297164
LVA,79.687281,82.771711,85.419953,85.319555,85.119169,84.426265,84.407592,84.088338,81.659497,80.521441,79.201055
MAC,3.4092341,3.509416,3.5786218,3.6595373,3.7397451,3.8583918,3.8860546,3.9669248,3.9725754,4.0416052,4.0515473
MAR,900.01499,932.30638,949.78719,974.87808,988.5351,1008.1122,1023.9872,1043.5117,1065.3302,1087.1271,1098.8019
MCO,1.5456469,1.5299886,1.5457344,1.5675192,1.5725453,1.5752908,1.5836115,1.5736677,1.5685769,1.5189572,1.4640415
MDA,75.986783,76.743401,75.007669,74.182023,75.118252,73.996988,74.017019,75.886547,74.605591,70.478565,72.307839
MDG,909.10097,899.66995,912.99522,885.46105,920.60378,934.40467,956.39923,943.94338,927.96354,975.81079,997.81664
MDV,4.2548384,4.4734356,4.7038939,4.9354374,5.2067281,5.3533686,5.5597008,5.7564182,5.9627544,6.1971301,6.3071198
MEX,5953.9422,6095.1868,5964.2714,6053.8036,5978.7625,5997.1662,6006.9069,6004.6163,6024.7573,6096.3364,6146.7811
MHL,0.4072981,0.43536986,0.46825239,0.50116219,0.53400799,0.56685739,0.59966615,0.63243126,0.66520047,0.69797666,0.73073198
MKD,67.801983,70.323722,69.359219,67.72062,65.444101,65.857903,65.340123,66.461721,65.036932,61.235845,61.595409
MLI,747.13824,763.9793,788.63348,809.93488,831.59768,863.63191,937.99524,962.74996,996.6126,1019.9351,1063.7063
MLT,8.2713213,8.7244079,5.731566,5.6475563,5.652928,6.0106819,6.2576683,6.3305106,6.1142588,6.2520541,6.1880458
MMR,3327.0348,3052.1033,3142.4264,3146.3871,3270.0023,3390.1187,3320.9084,3451.0421,2857.8498,2860.6436,2991.0098
MNE,25.297785,24.324702,24.283782,24.029684,24.057282,25.488982,25.566986,26.212163,25.353362,25.453387,24.391961
MNG,718.79937,855.20374,838.45576,849.18081,928.85897,908.78316,1116.8624,1268.3754,1306.6801,1384.301,1277.7355
MOZ,1171.9178,1187.6314,1342.9128,1396.7339,1401.2891,1347.0126,1384.6827,1438.4507,1575.2665,1384.8429,1305.6005
MRT,266.11701,269.93589,278.11387,285.55503,295.31706,300.70297,303.18195,305.53403,310.01143,319.5983,320.50973
MUS,22.707253,22.826737,22.905109,22.879895,23.014801,23.074616,23.157625,23.041468,23.1219,23.253988,23.217448
MWI,220.722,222.14856,237.394,239.84822,250.83294,261.31799,275.67146,275.01439,296.49511,317.40603,329.23543
MYS,1947.5413,1923.2052,1874.4066,1987.6665,2165.9784,2036.5825,2083.1646,1982.1741,2090.4511,2139.4198,1980.9481
NAM,227.07862,322.65654,353.25284,205.78295,191.17793,189.05358,202.0072,202.05955,186.57702,174.94768,242.68401
NER,645.18623,669.07178,703.58148,745.69642,780.04555,810.6543,849.81285,888.53884,930.48087,972.95782,1021.9428
NGA,8364.9412,8821.6788,9036.5099,8671.6857,8853.004,8833.416,8544.1089,8742.2137,8877.9025,9175.4922,8466.9566
NIC,317.90431,341.90784,353.05382,371.0494,386.90014,398.72308,402.06009,396.39637,412.31682,424.8809,437.39641
NIU,0.045793451,0.046100879,0.046392113,0.046806117,0.047100453,0.047526803,0.047724239,0.048233291,0.04855309,0.048758454,0.048570513
NLD,1015.9926,980.50774,967.67097,978.48332,950.47997,916.82546,940.78449,900.31275,863.70357,834.73089,787.49277
NOR,824.16605,780.34106,747.50616,728.30922,724.92999,755.78865,754.66081,769.48449,750.45701,710.50709,741.78479
NPL,992.04811,1000.2701,1017.5376,1030.1312,1037.8214,1014.0703,1070.7874,1054.038,1055.2508,1088.6278,1069.1171
NRU,0.063566307,0.063593172,0.064158463,0.064788124,0.065372046,0.065815017,0.066100229,0.06627081,0.066652356,0.066724425,0.06692604
NZL,1363.6633,1367.2949,1376.9117,1356.9836,1373.7373,1337.6753,1345.3688,1339.2456,1339.2663,1320.8966,1299.5225
OMN,1004.2594,1048.7821,1097.3696,1163.0105,1158.7776,1211.2133,1249.3563,1240.8397,1295.2998,1302.2748,1287.1026
PAK,6185.1308,6403.204,6538.9993,6779.6377,6982.1649,7104.8897,7269.2487,7441.8716,7714.1082,7878.0761,8101.2203
PAN,156.22278,162.84624,164.62058,166.00276,161.84308,159.04302,161.18609,160.07774,163.41753,162.53083,163.17272
PER,1234.8879,1296.9306,1299.8518,1313.6219,1335.1883,1330.5201,1350.6686,1332.4063,1342.0184,1356.4696,1342.1352
PHL,2943.871,3018.5383,3034.0534,3098.1961,3100.7897,3094.0736,3143.531,3260.4243,3280.8019,3282.7108,3300.7724
PLW,2.273227,2.0763426,2.2549204,1.3896488,1.4289166,1.591853,1.5721283,1.6338221,1.5669878,1.6256669,1.6680809
PNG,98.085239,97.745768,99.006045,102.35755,147.61902,200.04044,181.42334,180.96796,180.14321,177.05048,155.23506
POL,1885.6209,1839.7631,1895.3338,1838.8796,1717.2461,1684.6024,1663.5652,1644.4904,1668.958,1634.6998,1569.9326
PRK,821.28504,827.81265,832.97057,843.56175,855.70069,851.1732,911.36783,783.43381,726.65688,764.88803,744.45729
PRT,391.06227,397.51041,379.83094,367.44384,369.03613,370.74626,378.63976,404.32369,394.34928,399.22858,406.10772
PRY,860.35259,876.20102,917.70965,937.80977,983.21083,965.38142,959.24931,994.395,940.10983,992.46273,1010.0984
QAT,2209.152,2593.6475,2763.0633,2868.4735,2833.76,2881.5311,2910.9654,2884.8064,2884.3814,2886.1571,2863.4529
ROU,880.1502,839.46194,845.51372,831.97444,854.75892,866.81654,876.79179,879.0387,886.85301,891.40926,848.75066
RUS,14667.519,14959.108,15289.119,15221.661,15408.507,15439.222,15843.669,16376.568,17102.178,17740.11,17257.73
RWA,170.02445,168.17267,170.89256,174.70545,177.22626,190.29386,188.61994,190.21198,197.14451,204.13786,209.09325
SAU,3433.9775,3673.6391,3871.3526,3878.1043,3968.2671,4093.9091,4214.43,4221.0821,4321.1168,4279.2053,4219.4806
SDN,2284.105,2240.7908,2329.9184,2356.1853,2373.7527,2408.2456,2430.199,2456.9546,2485.6425,2511.4287,2554.8359
SEN,386.74823,395.59983,390.74042,393.65501,387.24113,386.10818,406.47763,402.89417,401.44537,415.24652,440.67875
SGP,154.36026,156.55796,158.2807,181.51675,188.70769,196.05746,187.34893,204.78319,204.80109,210.49186,202.03824
SHN,0.057251738,0.057218975,0.056568421,0.062618874,0.062328444,0.062449837,0.063696482,0.064998391,0.06689209,0.06780966,0.068744148
SLB,6.0401834,6.2686252,6.5023541,6.7671597,6.9732034,7.1745596,7.3467393,7.5476144,7.7358626,7.930012,8.1147019
SLE,153.43244,163.24719,182.16338,180.705,189.90195,187.65811,190.51814,189.94724,214.34013,179.68133,182.84546
SLV,149.1487,137.56533,144.80943,131.90693,140.1111,139.88496,134.34206,133.82074,127.68246,126.14054,130.07065
