"YEAR","Decarb","Baseline"
2020,5985.20410344875,6075.23189814046
2025,4896.98135518855,4893.38581217953
2030,5647.81386020452,4984.72942347319
2035,5249.70785678614,5066.85845512314
2040,6063.98032405517,5582.5758248953
2045,6632.30286976798,5966.07594585675
2050,7403.12238559985,6279.13290277098
2055,7697.17549945706,6447.46917457988
2060,8450.89239369486,6754.19827046003
2070,8954.48418928417,7433.80053765995
2080,10567.6936457215,8487.94772222904
2090,11665.1190197519,9055.76547621836
2100,12495.714949531,9569.14657795169
2110,12759.41570862,9941.34723345673
