"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190"
"1",17009119.608536,260.77888,410.985642,169.662315,381.471944,126.9237987,1067.572067001,231.927731,280.633775,1723.68157266,566.456386,284.383391,148.025865,198.911395,303.872245,141.3236557,7239.52387669999,20728.8588177,145.143561,284.600143,217.079812,621.188553,352.11341482,175.971688,215.378486,1201.111476908,165.103409,220.648066,251.46716,626.189612999999,355.55749,268.770385,240.122686,1042.839631292,233.995203,147.727092,169.9028658,215.795854,694.387719435999,6091.20175793,439.15941336,339.958525,368.892187,181.372201,186.062053,157.6793824,784.177293999999,188.2813917,137.794021,416.209678,1391.4309038,177.59612,242.961656,917.198690879999,230.460213,464.361958,161.634411,437.552082,272.1203036,222.43194,6911.2218541,1562.2045888,209.396332,244.453663,112.410938,581.62080276,15981.677941096,300.382632,396.5385653,160.660707521,215.438573,265.86203,593.664978,247.031203,205.974474,255.903295693,569.644237,168.204985,106985.855160655,1430.816108454,8146.605863807,384.651485,604.4179611,870.428434561,1821.7527979,148.2339,3221.33359289,726.659389,1696.714120532,604.873703164,845.616465099999,1207.235634393,227.474244,516.135499999999,525.426001,611.64395,286.5126839,202.3113316,227.924308,609.146204,302.532777,226.273288,216.825817,229.69884,1063.27464027,244.285491,284.371684,342.192747599999,507.190879,441.173260008,806.046806920999,312.49888,804.586348,2632.432501,293.599863,196.560281,92.2164759999999,221.642297,359.825941,1908.0369869,156.38592481,264.22046,942.10969082,235.109088,389.237832,475.092969,558.168074799999,447.392525,423.385854,393.660688,204.28871,296.704947,334.749268541,471.26579191,601.695830471,3034.83987,305.247634,422.135912,897.497954749999,88.9223891999999,604.067581,18756.098489824,711.031489,179.144888,533.13578,182.076969,1582.549629,333.632208,14129.896202,192.26628,375.673804,2054.98992659,490.642204,440.223222,115.2848023,783.264633203999,122.452041,890.063475370001,201.217451,102.707916,353.657742,145.7728972,503.390303,574.125469299999,373.813865,2056.2529194,480.369889,1725.48846028,468.923503999999,248.066994,339.081297,373.686303,10106.224688,3920.159923,110.2898049,253.880384,1757.731341412,288.797866,4480.9795721,296.181499,2442.333522,628.918422319999,1288.19214656,220.473486,998.31333594,1034.758263852,388.320627,313.182101,99.3715807,251783.571
"2",1569.432805,9732451.35475801,679.48478,349.608521,846.30408,255.0607872,1982.400799957,505.644869,602.345318,3418.98360599,15150.294459,645.17383,296.739116,426.909486,558.925154999999,287.1265808,13191.5387416,2806.594853,303.177107,593.996572,451.0113856,1373.837828,765.16306173,389.41147,429.242923,1210.812144585,347.201108,478.28236,2453.257491,1403.598862,743.811127,614.501971,604.038027,931.386770015,491.686909,302.8222875,354.8695431,475.3162,1275.715821929,6562.05440478,920.39342665,713.134381,507.239835,804.409510000001,660.769481,348.6381669,6099.762354,376.047442,265.5473699,874.662354,3842.314841,367.499652,505.444334,1042.68281956,501.01664,363.909131,335.128573,893.012474,504.2661922,481.139471,1157.394652,41519.3307105001,447.769569,693.077831,201.638603,1213.13462915,77592.8316704229,657.312702,102823.6303266,316.829795638,476.997219,565.002964,4117.974506,535.177119,422.954055,555.818579164,1250.592689,339.740002,3100.229562345,1292.298352938,2747.69824721,843.919883,882.392406,1609.531699384,445569.280026,319.12045,3780.11405844,445.957319,2238.227049461,1154.793232926,1853.53489137,2448.830688325,490.55778,1098.369383,484.331882,1344.743008,627.001118,441.7849545,491.617412,1244.355274,1121.918322,497.084942,455.772608,481.001181,1455.84174152,514.514196,550.456356,663.3926602,1099.371161,792.823855153,1378.612805013,658.237022999999,799.049762000001,5621.563826,621.305405,435.180578,99.4739089999999,481.596967,781.419373000001,3296.413363,336.0710982,533.274192999999,1534.485724575,498.003292,941.292514,2009.831384,738.120913,961.79958,938.923272999999,629.142793999999,723.658041999999,656.53313,751.781592136,946.93371135,1673.210892316,1062.680159,661.919115999999,875.401993999999,1529.97557358,160.0636269,1512.39334,6932.500361314,1440.013524,381.134609,1156.84545,339.784885,689.99955,678.583561000001,34012.515478,401.555722,845.292817999999,3063.61438381,1772.527127,2712.755789,216.2228711,1542.951235024,230.133977,4965.69712036,430.381139,190.09281,753.153179,302.0045514,719.575679,2966.6852625,787.943633,1471.0919564,1116.748053,3063.56158553,8804.90755499999,536.590665,719.805771000001,428.030265,28974.765148,479.086868,227.2475026,558.094189,3452.623927777,585.562022,4957.3630714,500.424390999999,13757.31343751,1083.86029607,2811.983342114,469.392466,2143.51249532,3028.798727982,838.095051,671.882603000001,166.2998253,23939.1033996
"3",409.514925,315.78635,99016510.919104,238.341888,556.030362,187.0659472,14871.0201775,328.433398,378.548433999999,5251.08954054,348509.375157,439.771805,889.761698000001,293.753815,376.880448,270.683254,2338.9635557,7194688.20224701,202.120675,393.471482,296.406486,851.396044,483.34306259,253.47012,295.211491,3620251.49444268,235.437986,313.266528,536.357219,919.114276999999,531.64021,373.868639,371.756756,417728.497859742,323.565289,209.370755,238.9440505,1895.691362,19829.722730822,157163.29788906,596.774418409999,477.378368,263.714654,754.517332000001,339.585805,265.640366,65491.2890750001,246.396145,189.599307,615.124083,8999.084741,252.152958,325.246369,9043.59775523001,8408.38323899999,246.19726,225.479334,686.466833,270.5043889,298.881862,1732.043748,17260285.797926,279.548724,459.396895,171.074677,876.82073943,3112950.82527073,429.50213,705273.873406899,224.911511047,303.301497,354.94373,887.092561,338.695574000001,302.502208,364.114965744,738.00751,305.993305,35789.594898503,815.030803078,1747.78951069,72949.579407,5480.220482,1160.882985735,2398918.883173,209.417592,39035.67225155,643.600719,1491.121247877,694.911780945,1932.92234216,1827.079934533,329.853149,774.301973999999,3764.266989,815.504413,419.741709999999,3156.6579728,316.391813,844.777865999999,338.89377,332.374192,338.757567,367.1566,8106.35529906,326.283741,374.039449,562.755621,6877.082709,628.103946967,208283.451714342,417.043349,491.835444,3259.473474,46747.968541,277.711813,109.948048,321.05602,475.897729,3083553.19628,215.72680813,340.700534,1140.857540901,294.342607,4673.55497399999,1182.545618,1768.3722764,587.919163,699.119248,436.196317,37573.356445,389.694138,472.152856609,4529.50896933001,943.483080723999,889.067721999999,31452.700343,601.579337,97498.43293796,91.7184818000001,1250.606382,3336.548251212,1015.864852,254.519242,379545.219798,277.232287,1433.704526,818.778655999999,17236.633558,262.757587,554.383209,2713.13130793,779.990019999999,103632.857551,165.5964924,1796.319493547,147.456729,5664545.76580299,273.76069,135.7233584,6346.48262,210.601016,44558.8481760001,126250.1012682,1658.123725,51521.08647755,6655.577645,2225.38516431,161631.356465,340.831479,341.340854,58119.951785,583319.639568,319.813804,139.6546881,369.830268,2649.113992395,3187.896909,673319.0741649,380.727188,10472159.4353605,948.340138709998,1931.590155992,316.24211,1407.06384401,1587.827858928,505.386569,457.032112999999,207.8434291,51252.1087262
"4",402.20587,384.305786,1816.122229,3053120.7735752,561.444239,173.5936344,1302.529597967,342.093969,393.955864,2950.5988811,978.822011,408.584792,203.649176,282.606393,395.600291,201.232091,12850.6960483,693.501442,204.422311,395.522733,309.844064,924.679206,484.13071531,250.307986,278.121103,682.298723076999,233.137569,328.742843,354.709174,827.862119,521.250579,398.882126,334.041886,464.307123777,321.97525,211.850115,237.6797137,303.663326,877.110273406001,5082.31864093999,575.46589748,477.787066,462.547284,227.434443,256.100568,273.8036225,755.981623,271.776981,200.246421,569.35956,945.8000719,249.164867,343.506228,673.24436066,330.955906,258.315316,229.567848,695.507697,468.5592371,329.747003,485.237694,17108.630028,289.999228,342.315943,136.192281,789.886628580001,6150.256148072,428.47341,757.189708700001,212.1542451,321.083719,380.8165,838.507074,352.074329,282.658831,870.454978205001,638.871667,238.118561,2190.319144615,1106.404245438,1771.597340423,557.050385,522.643022,1237.644462029,1298.273685,210.783541,2454.77344572,289.043848,1734.0071258,752.179833722,1215.20831823,1539.43376665,315.69287,704.992828,450.564737,926.523639,422.104434,294.8460352,316.718668,866.95317,271.427191,317.157716,311.261285,319.58042,1067.30872446,357.19828,375.859698,440.0745545,730.079636,510.045491709,688.46628578,450.494805,522.316345000001,3997.220933,414.714597999999,276.046823,105.3899,305.665795,536.279758,1485.563625,228.73559477,377.977702,1184.919999964,349.279957,601.623874,826.997426,1328.92905,670.345756,622.598543000001,430.807658,294.589357,431.186207,494.877374146,681.838607039999,826.408561279999,867.926728000001,580.318598,577.923222,5616.38642969999,142.2098562,881.079633000001,5638.013195566,1024.37334,260.597142,793.737717000001,220.820815,686.520255999998,458.451918,22433.099066,281.524356,559.957115,3282.45438981,766.892036,599.223712,153.003694,1069.29276124,164.426867,95472.9172110599,291.875856,135.092284,498.75662,201.952662,472.656147,766.5614493,532.852937,1457.1979484,693.780754,2491.59886907,905.000067000001,366.829321,516.598623,275.179839,750.435483,326.065758,188.8551347,382.582429,2504.15001675,571.695799,3066.2470033,422.019854,2439.61622764,738.45139074,1834.961984411,315.178319,1523.56509741,1400.182477209,579.156627,420.446477,109.408617,8918.8699
"5",721.202307,665.732977,825.718531,426.023904,115148673.34876,318.097389,7511.432804407,575.30756,711.578176,3564.82214526,846.312911000001,740.434171,377.964848,508.917722,714.895184,358.201752,14019.0466416,545008.8284,359.579073,718.065266999998,535.118971,1610.198916,875.53332071,453.816376,504.728409,34031.832695373,419.886812,566.020181,637.064431,1739.5032,913.334848,668.320235,575.984444,14154.138510593,586.337541,378.590804999999,433.233955,597.611173999999,334785.879293262,12033157.7029589,951.79861315,849.390737,430.223943,388.392148,642.819161,395.492433,1223.801109,455.903877,344.779266,1026.530066,1583.55533,447.422754,589.145238,1218.49594734,560.151804,585.306511000001,414.844666,1134.474659,680.564206,544.055089,888.577859999999,883519.162081,525.250926,638.990684,257.90677,1513.30237307,192356.631659569,720.704722,601.859322,386.148432503,541.152306,677.165141,1553.80846,606.401055000001,493.780605,731.405139977001,1194.469667,434.470163,3550.512233864,1344.381012522,3282.025746145,974.679383,919.670494,2061.980374777,53841.305316,371.122855,8712.95327928999,509.159071,2612.247896064,1262.067771134,2287.15034207,2992.541626516,573.429401,1309.490773,583.424145,1510.833909,698.259883,495.6832701,580.313147,1680.364512,533.322518,639.505883,546.985352,576.927810000001,1531.83568352,599.124639,679.578919,850.231473,1204.74388,954.25758172,1132.22240017,825.073029,898.479779999999,6879.29564899999,705.393987,461.692531,120.304859,5232.521108,906.219666999999,70464.9114280001,398.23058056,653.248129,1823.417681706,532.171906,965.346629000001,2455.246882,1100.787294,1081.715857,1060.485357,698.776691,518.498957,702.501143,825.467225894,1033.2777679,1465.899583042,1237.195907,16410.446028,981.034791,1855180.77692766,194.9128234,1587.552879,8316.819550805,1875.186834,454.484602,1448.919294,2110.528828,747.810024,706.349808,35573.626502,465.103867,979.118154,9178.49124002,1189.775168,1018.160576,270.749887,16681.386099484,297.925541,1043141.58801067,491.52777,235.737441,862.350582,362.769681,855.697829,982.1533671,880.853041,54333.7035888,1243.333743,33039.68232487,1192.845972,637.985884,841.352355999999,548.21548,1188.168609,574.604407,354.7372809,629.910176,4989.810940928,676.070197,8909.854103,709.234105,6374151.67274222,1473.2536939,3379.619340753,554.667572,2157.57118619,3028.150891108,933.77019,827.732094,331.2160802,57536.8259304
"6",255.9929,227.934669,366.384198,149.2040723,348.703934,1091913.58761977,1074.127820094,209.877951,890.010657000001,1685.05311771,391.0201659,250.395533,171.300131,178.389149,248.789407,170.4189505,9506.3552817,366.782651600001,177.066788,259.236853,201.1083354,597.825338,328.27002846,158.5694719,188.882926,462.455703056,1541.875776,208.514918,227.413204,512.505302,331.612491,253.594804,221.775312,1367.197422287,199.039282,137.9603821,154.8736213,182.6971482,596.558452080999,3513.96504409,448.81455216,300.280096,179.090699,162.694077,471.060225,144.6941736,486.852965,177.8440619,127.8184651,354.725135,639.8984486,164.619744,239.805817,447.16229319,213.9081132,194.942994,150.98775,390.652965,286.8878189,209.202202,363.7905666,543.3550109,187.3133037,224.617342,124.00334,520.57625167,40630.276857809,278.090677,883.798635499999,145.644714803,206.220313,238.217218,6235.798268,443.440508,182.178299,236.960726634,582.9257122,154.60692,1394.955716689,842.646970258999,1167.910953805,350.37119,326.4038478,833.726718383,291.9824062,229.350864,1693.25415641,181.548339,1103.629112149,485.520340539999,782.78985735,1079.612112177,201.809016,465.137563,210.725854,593.091808,263.4531758,189.3517609,201.803879,529.502059,184.198276,194.855692,203.481333,204.7774996,978.558177169999,223.9461035,245.181271,325.0525351,478.936557,336.379145765,481.686728981,287.17221,314.326869,2626.629364,268.193989,183.145176,92.5834209999999,197.728549,347.890044,367.2156107,2257.7140761,240.440494,766.342029162001,239.693857,375.451346,436.778467,824.375588,431.894427,391.047734,277.242466,195.38812,283.330261,319.86979582,367.22546462,581.872909144001,458.757996,291.136081,354.244678,9591.08167450999,86.880024,575.964534,3160.487666461,647.269717,171.177956,591.669529,169.344449,355.31049,294.011473,14306.787764,199.587786,369.919458,1237.4567264,429.66103,383.31908,109.5926019,1213.20953157,104.9158298,688.87948685,184.974161,90.0328512000001,705.012145,130.6457112,318.961019,636.0791863,346.386372,809.883750350001,422.991198,1690.43879579,461.433994,271.844805,522.254695,174.260609,570.052001,212.991461,112.4516895,231.129646,1838.632431664,250.82815,2692.3458693,189.592388,2074.95726206,535.12220538,1169.395263544,207.090221,1162.81803219,895.560650305,367.750846,264.705128,78.0982125,15418.763
"7",2954.645444043,2289.768037513,60592.233643992,1663.120247749,20447.575147582,1276.341751826,239873967.454729,2381.523687853,2808.694101924,138359.965567125,34775.5014909829,3673.513813076,1865.652236098,12544.776270791,48078.405641703,2516.933088594,12744.528675651,756590.486776257,1882.97686572,2987.708246084,2154.81605374,6535.141121559,417306.623850179,1849.469528847,2109.375251406,21584131.6165344,1667.955198155,2646.258705053,11282.430614037,6976.62076128,3572.475186232,2653.867995068,2981.514820901,391702.597314693,2311.134960651,1503.540587612,1651.766013763,2522.355333528,10580939.3052751,1711516.65345384,320177.049973641,6561.41169075401,41707.862837195,6597.869511855,53349.2447901801,12960.884359928,35179.039389697,3076.038908915,1302.152933488,5819.573091093,258708.557328534,1784.441412804,52688.833365919,145208.953199065,111919.856365071,14509.679568199,1610.746232194,10136.774520347,1957.342966548,2244.580400229,59456.072533803,715438.005201108,2391.737437395,4776.223964103,1257.806032046,5847.6473364538,1903258.35276708,4183.95417099299,97489.718224424,1534.50412328527,30297.847357105,2647.444116574,18353.437510984,11507.871438173,6514.010794171,106532.887397178,31427.541869415,2192.059506745,436195.118146242,118783.591871384,250836.011841884,53764.8310866411,98117.924524328,69647.5239448367,1574780.97878449,4407.566427997,773110.083670989,55580.7619319641,14054.8353247375,80851.8902818856,22931.6343236931,11475.5178491272,2348.163078974,5746.553623632,31493.456123222,6139.209271167,2870.059666247,21311.23349519,2414.683900591,15791.013268335,3939.516031869,3836.831578364,7689.353747308,2963.265132267,374110.229116221,2384.060460263,2794.608393199,6493.69318227601,5048.10999215099,17348.2476640164,805300.215628073,3262.549180783,3660.412700688,26845.072444908,41343.320314665,3637.56692551,762.802165842,3776.240925058,14740.162706678,1822698.59112921,1529.13184591478,2474.746639592,55144.0910168288,6057.22966417399,3768.248945658,60015.376400848,76952.4143864001,4517.289614159,15980.916944246,33108.707349032,39070.299048018,2812.471895279,621801.076111675,555326.664401243,14719.5668476385,97915.129493158,98950.3136658251,9650.584911844,281506.786525237,668.913547629,27102.512355267,259165.222018264,6714.673004188,1789.739591743,5861.877362528,1831.967329146,51207.5872346891,6271.797931965,119521.87979916,1848.792757826,3976.327654701,69986.7728045567,19638.729524156,14194.527647269,1088.936525817,347301.974661772,1245.265983923,1305256.34456027,3570.384050491,966.933345277,4539.196755102,1417.917004966,46468.784538978,155242.243643504,36836.579926206,39613.7256353055,5143.36617741201,121612.213103092,10491.773942003,2413.069121517,7262.02083398699,35961.067138986,110208.340583494,2458.258165356,1090.76246777,3748.996918536,21352.9315873749,92594.9747976949,465751.463332848,7733.91377909,4677361.56395625,1607955.1245668,14259.3256500603,2230.557065898,469544.549177119,39561.9652678016,21754.906020385,3703.954687289,1893.687356154,1254799.0860639
"8",459.239167,469.014402,495.537609,268.748903,637.740679,201.494451,1511.843840218,5232877.4365043,434.449569,2669.53710498,696.919107,492.504994,238.235105,334.119058,450.302801,231.35281,11699.2724484,87879.012673,233.153757,439.955156,361.331247999999,967.000348,568.87858962,296.038062,347.01171,901.89377669,276.266027,367.861292,599.733871,918.135163,589.511535,442.952215999999,382.14459,5224.69736341701,369.728072,241.104018,265.462273,339.75436,1008.08508698,30461.23230027,773.881583,529.589701,302.023307,272.61555,295.139525,263.365382,821.160526,301.204179,220.770213,658.408029000001,1087.519615,287.99169,377.042458,781.66408183,502.590163,275.435448,260.409834,830.099307000001,379.7976264,359.283707,723.164879,1469.756806,328.384216,393.358725,154.401524,24379.71238163,205050.456507338,500.032998,1101.136857,259.784548938,365.834523,426.181504,884.71924,390.82224,332.360313,439.778058025,774.876968,274.657731,5596.36562070399,970.205078084001,125009.987272369,674.68771,589.838698,4044.64550622,4396.249416,250.703457,2787.58269605,723.63406,8074.66458967799,865.146679076,1372.55095395,1867.0694805,358.138192,1106.122553,867.243639,899.800806,458.720367,335.377838,379.541235,2396.904157,340.162129,372.031897,342.577223,377.377281,1090.48966351,409.060006,414.259778,540.546255,801.249842,622.663874819999,783.366389567001,491.353828,602.246633,3474.78299,478.747099,314.225676,126.519815,359.789688,571.11972,10671.502387,251.6569051,406.416855,1204.87085597,383.3035,662.885481,711.06481,559.048680999999,664.897667,1242.368232,508.7581,345.26419,480.435372,572.524047539,699.72123901,980.835704683,976.898365000001,521.349252,669.161564,1245.23766089,166.8621773,1022.882908,228385.961768144,1078.00768,299.436446,804.968245,280.570922,544.062328,513.762887,16793.353554,314.847566,626.783225,2239.06288478,819.550041000001,796.741948000001,170.9989283,1213.724188206,208.227336,827.34662006,323.696666,163.171988,539.132250000001,234.683823,744.743435000001,1825.6501581,826.54421,1200.69366872,873.816263,2337.94161451,858.803952,404.713204,576.410968,331.301062,1483.163954,68224.772886,164.8898405,418.063939,30474.612312434,10251.223585,3318.025509,396.458389,9534.29630945,928.473236499999,2202.184203823,368.265747,1745.04876903,1512.079616312,608.468639,530.077912,118.7071145,24794.7107776
"9",321.787412,304.33848,338.39791,190.762267,438.247236,147.319886,1226.86447605,258.214515,1943258.1800445,2419.19266073,749.1302,311.850511,168.615006,226.328834,333.261894,170.04419,5160.5981131,8657.64995999999,163.197341,300.574204,242.262231,618.906427,398.81636317,207.041082,240.233338,71017.6446343731,190.654889,251.105759,898.122357,575.333157,435.566228,473.711705,281.379545,375.368825028,251.540364,172.120946,195.3629682,231.402626,752.446351581,4857.08652676,8210.95819976,371.180272,206.851631,192.319161,773.692552,182.6985581,596.253373000001,218.880914,165.943594,469.626956,797.6858563,207.902137,280.586663,547.5878101,278.166736,206.08084,185.402382,519.742784,287.6366141,250.336035,423.461244,3005.278674,226.702673,280.822602,142.536864,667.00828198,1526.48485632,352.795268,317.5536625,182.857799136,15829.347557,319.383415,1270.170883,285.301787,220.782304,284.940860896,542.497371,189.280925,1790.555884875,793.553928706999,5160.404264533,392.376938,418.531169,1000.792334123,1394.2583474,192.313708,2380.40796003,224.028456,1327.997471332,613.900994568,735.06622558,1262.557355798,266.454281,591.506864999999,356.632302,589.410955,332.218366,236.883719,233.33682,695.038251,221.763397,231.776334,242.250505,263.044194,878.573102210001,268.90849,288.656892,376.2769155,525.157106,430.188395387,1520.580054085,301.037796,376.50201,2105.031954,345.101418,217.387544,98.96986,250.703338,373.722731,27247.510128,168.27445746,286.461698,989.004740507,289.138015,452.332556,443.766153,393.844537,481.316759,461.765371,359.101327,1131.686659,336.532646,388.309765338,476.4758346,1507.245176866,616.076945,376.106721,398.2511,859.81293623,103.8872267,715.472708,1858.432869398,691.862341,218.503421,576.977573,198.392566,347.966329,349.084973,12202.654959,252.63292,451.398404,5293.28104086,553.423262,489.619402,135.34399,858.639101749001,111.615208,18773.85746429,223.014838,116.046785,353.222586,167.065704,394.274188,420.7269064,420.543285,1423.9530086,499.599726,1755.23201403,569.931473000001,308.470783,329.783692,225.510369,1552.042112,278.73022,123.7508931,301.624387,2349.751921016,329.059548,17845.0730909,208.0121,375826.25651938,660.542346370001,1501.452333178,250.149106,10776.22119683,1468.898022217,449.656318,347.709359,93.3231769999999,8714.7685039
"10",9017.61067520002,6881.4903377,63787.2345795999,4217.5336275,15274.1161052,3610.1654441,131264.335996952,15391.580377,6257.4027415,1171333232.7249,105596.9596042,15551.3984349,3581.0824693,88765.5360782001,143426.1401076,8880.56361440001,18301.8146277,1286144.7700004,3533.4207254,7344.55364169999,5249.4238119,14026.552695,9714.04534433101,5978.1136718,11326.1680888,867735.009188225,4060.4512458,54347.7193325,19930.6479602,15919.9774754,8598.23214049999,39247.3948438001,7661.9738248,2744915.31701479,5584.2983083,3636.4084328,4578.1167528,6514.23480400001,322695.455567665,36677562.4743111,47421.596175161,8687.88704009999,9085.95570170001,15384.6890947,12045.7408888,25120.2253972,114995.7529161,8437.2011498,3464.0888651,15187.6049725,141610.92314801,4789.0294687,22873.2153742,24975.120669887,186228.3802419,10603.9407572,4620.3088866,16188.8055591,6413.92014930001,358390.9117167,521838.269157301,1331396.74613406,86230.2588574999,9423.322784,2788.7462547,16041.71563836,3641507.99353586,73557.8336837001,145547.4597825,4111.258527101,15358.8635287,11094.0820729,270344.5767836,6032.8787216,8421.5496695,4947285.69980272,50637.1894586001,39483.5069415,7192580.54895191,6959024.64844696,1010985.9112693,11948.6132764,399939.3658077,172531.161721382,2162121.0539877,31114.375109,45480793.2161955,82659.5465495999,53954.582334881,199547.548514262,168327.46915367,29401.596068725,11005.975571,16744.0210705,60221.551356,13450.0132493,7192.68038390001,14313.571089,5509.7632744,22181.0004388,39426.80489667,112241.6758783,16936.5828508,6865.6317302,7611689.74638721,16726.5162186,10047.3879978,14770.8025081,10968.930889,107112.196121151,612759.622659613,7018.31230590001,15323.0087038,46664.288213,19249.7812226,8516.6135795,1562.65759482,11865.8279527,44131.6959758,1826696.0976942,6749.313034263,210376.3116235,10032935.6728049,5719.08555190001,10192.9778294,44635.3898327999,209487.37955371,18682.9414421,240649.1970929,233773.3298537,17104.9294682,942994.253158401,8182.025121041,75161.34917962,1434357.37250298,295589.3869392,61960.6197133,103036.1614052,15482269.5689985,1986.95893182,234139.5436728,761890.453899523,15922.694584,13738.916012,13695.9372362,4701.0300006,1764141.3743812,9549.63450700001,252444.525598,9271.5311813,10079.5618866,8299462.74516182,40877.83992,25445.009149,2700.1513241,1677358.84242837,2958.1170546,1069467.62913421,187588.0260919,2597.3349774,9420.467021,3744.47463960001,406201.694285,361935.6279658,12508.1592296,1948452.87610996,12661.922057,3296630.75301564,16009.5465519,6716.9756721,26302.1502828,16423.9039604,353511.1091179,7597.6969526,2402.9260118,24575.8138954,70347.791821849,922812.887991199,4115862.7049055,177487.8047887,12151250.2551534,28896.07118101,34106.22456599,33725.0684463,41853.25787015,634921.64750868,22079.9473062,15059.83604,8802.3171859,3692782.675209
