Region,T_high,TSE_high,T2_high,T2SE_high,T_low,TSE_low,T2_low,T2SE_low,peak_low,peak_high
Global,0.157,0,-0.005,0.011,0.079,0,-0.002,0,16.2,14.7
Africa,0.079,0.002,-0.002,0.001,2.242,0.02,-0.044,0.017,25.2,21.3
Asia,0.092,0,-0.002,0.001,0.054,0.049,-0.001,0.035,21.5,20.2
Americas,0.06,0,-0.001,0.001,0.387,0,-0.008,0.001,24.7,20.6
Europe,0.042,0.002,-0.002,0.001,0.028,0.002,-0.001,0.006,14.1,11.2
