"region","gamma","alpha","beta","sigma11","sigma12","sigma22","rho","zeta","eta","rsqr1","rsqr2"
"ABW",-0.286172552360543,0.00344727883196457,-0.000693402792375209,1.46701575008696e-09,-3.01803626487427e-10,6.77306207579015e-11,0.195698608912499,0.000762286881247172,0.00131190514976041,0.212205264350444,0.572462230096873
"ABW",-0.280907195448597,0.00340090895800092,-0.000684419809302591,1.43217961190016e-09,-2.94636918947329e-10,6.61222717922821e-11,0.194968371389385,0.000752590154507527,0.00129717413377927,0.211655906437751,0.571563255491677
"ABW",-0.277354684137446,0.00336999103948205,-0.000678430206009381,1.40927184226585e-09,-2.89924189755455e-10,6.50646434352459e-11,0.194471344660224,0.00074613724261949,0.00128741277019218,0.211272445239352,0.570935942348243
"ABW",-0.274531260764243,0.00334562737882855,-0.000673710300179326,1.39139948238372e-09,-2.86247376451988e-10,6.4239494810118e-11,0.194073855962828,0.000741061665307499,0.00127974951054329,0.210960344137775,0.57042898065416
"ABW",-0.272109014912419,0.00332487175592987,-0.000669689342922302,1.37629791606308e-09,-2.83140588075012e-10,6.35422708973867e-11,0.193731118456826,0.000736742606782638,0.00127324518120718,0.210687423624287,0.569985547154969
"ABW",-0.269933763274825,0.00330634684457158,-0.000666100514591759,1.36291542912584e-09,-2.80387459426707e-10,6.29244151262474e-11,0.193421979379441,0.000732891885434942,0.00126745797916706,0.210438276748148,0.569581193766666
"ABW",-0.267918068455297,0.00328927667901707,-0.00066279349207644,1.35066378458342e-09,-2.77866974726309e-10,6.23587691949653e-11,0.193134382705058,0.000729346902350061,0.00126214055154647,0.210203986785364,0.569201129761727
"ABW",-0.26600537118679,0.00327316358760453,-0.000659671863620068,1.3391691720748e-09,-2.75502231375759e-10,6.18280746604763e-11,0.192860479662591,0.000726003459082552,0.00125713515569686,0.209978634728676,0.5688354576059
"ABW",-0.264154814444045,0.00325765217384051,-0.000656666778838375,1.32816792167294e-09,-2.7323898555377e-10,6.13201581512045e-11,0.192594552049028,0.000722787864196366,0.00125232847205623,0.209757798148183,0.568477709576712
"ABW",-0.262333597579308,0.00324246136771168,-0.000653723785380971,1.31745487181705e-09,-2.71035030144937e-10,6.08255475671625e-11,0.19233195913156,0.000719641519946263,0.00124763255531567,0.2095377743335,0.568121728398685
"ABW",-0.260512380714572,0.00322734425828021,-0.000650795047344683,1.30685337252694e-09,-2.68854023613979e-10,6.03360871589555e-11,0.192068496740484,0.000716512541365119,0.00124297208570925,0.209315089249292,0.567760863795401
"ABW",-0.258661823971827,0.0032120587049635,-0.000647833651591671,1.29619400795574e-09,-2.6666111267662e-10,5.98439551697454e-11,0.191799904503174,0.000713350905566505,0.00123827242233464,0.209086096849235,0.567389307784925
"ABW",-0.25674912670332,0.00319633899940267,-0.000644788117292977,1.28529491378571e-09,-2.64418883071554e-10,5.93407551094931e-11,0.191521360709796,0.000710101646090691,0.00123345294473353,0.208846540538181,0.566999887801272
"ABW",-0.254733431883792,0.00317985936733011,-0.000641595324124979,1.2739373511545e-09,-2.6208233447625e-10,5.88163880280472e-11,0.191226798212317,0.000706698433765507,0.00122841376899483,0.208590929937824,0.566584787333841
"ABW",-0.252558180246198,0.00316217434263123,-0.000638168958885532,1.26182671282724e-09,-2.59590858453564e-10,5.82572522098865e-11,0.190907753367817,0.000703050618149183,0.00122301942523575,0.208311464240012,0.56613264029992
