Entity,Code,Year,10.4.1 - Labour share of GDP (%) - SL_EMP_GTOTL
Afghanistan,AFG,2020,45
Algeria,DZA,2020,39.5
Angola,AGO,2020,44.9
Argentina,ARG,2020,53.6
Armenia,ARM,2020,54.2
Australia,AUS,2020,56.1
Austria,AUT,2020,59.6
Azerbaijan,AZE,2020,46
Bahamas,BHS,2020,40.3
Bahrain,BHR,2020,31.5
Bangladesh,BGD,2020,42.2
Barbados,BRB,2020,59.2
Belarus,BLR,2020,51.1
Belgium,BEL,2020,63.6
Belize,BLZ,2020,50.4
Benin,BEN,2020,36.6
Bhutan,BTN,2020,45.7
Bolivia,BOL,2020,54.9
Bosnia and Herzegovina,BIH,2020,53.5
Botswana,BWA,2020,44.5
Brazil,BRA,2020,63.1
Brunei,BRN,2020,35.6
Bulgaria,BGR,2020,53.5
Burkina Faso,BFA,2020,49.1
Burundi,BDI,2020,38.3
Cambodia,KHM,2020,41.9
Cameroon,CMR,2020,45.7
Canada,CAN,2020,61.9
Cape Verde,CPV,2020,44.3
Central African Republic,CAF,2020,33.6
Chad,TCD,2020,42.4
Chile,CHL,2020,65
China,CHN,2020,50.7
Colombia,COL,2020,59.1
Comoros,COM,2020,42.1
Congo,COG,2020,41
Costa Rica,CRI,2020,53.9
Cote d'Ivoire,CIV,2020,30.5
Croatia,HRV,2020,62.3
Cuba,CUB,2020,43.5
Cyprus,CYP,2020,51.6
Czechia,CZE,2020,57.7
Democratic Republic of Congo,COD,2020,38.7
Denmark,DNK,2020,58
Djibouti,DJI,2020,42.8
Dominican Republic,DOM,2020,47.7
East Timor,TLS,2020,37.4
Ecuador,ECU,2020,55.7
Egypt,EGY,2020,43.6
El Salvador,SLV,2020,54.2
Equatorial Guinea,GNQ,2020,41.5
Eritrea,ERI,2020,41.8
Estonia,EST,2020,61.6
Eswatini,SWZ,2020,41.4
Ethiopia,ETH,2020,42.1
Fiji,FJI,2020,45.2
Finland,FIN,2020,53.8
France,FRA,2020,61.3
Gabon,GAB,2020,28.5
