Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Benin,BEN,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.57168718,46.52506303,46.38032142,46.33967519,45.89351717,45.839416,45.57079665,45.50558239,45.31717464,44.94282233,44.66919147,44.51816889,44.36316332,44.25554732,44.36148285,44.23222206,43.79833536,43.50297682,43.63313819,43.74190809,43.62627984,43.71564833,43.31963494,42.91235005,43.19170463,43.32565299,42.94458865,42.31637276,41.986516,43.30848826,43.43636938,42.67110074,41.85706748,41.05039673,40.24104511
Burkina Faso,BFA,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.91188995,82.00615171,81.89232579,81.89697496,81.07094217,79.80997954,78.75920959,77.7616789,76.52076721,75.75858051,74.67183217,73.65780712,72.28096634,71.06563728,69.58987868,68.14328816,67.0661116,66.27654066,65.26605524,63.77331473,62.38252186,61.07673318,59.840935,58.72250563,57.6106552,56.16077119,54.58259939,53.03560697,51.57013244,52.94879148,53.40183617,53.11110636,52.6974361,52.23364217,51.7754423
Bangladesh,BGD,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.92131885,69.71018231,69.39547551,68.87560559,68.01808744,66.9869682,67.29938909,67.51579159,67.56903808,67.5956893,63.66376629,59.42198021,54.8136737,53.17507411,51.35968883,50.48572685,49.7149098,48.98554348,48.32775565,47.59254823,46.77359577,45.91806779,45.09918325,44.40462161,43.54234234,42.66474642,40.59730441,40.76579789,40.84013232,42.54767641,43.46571579,43.66870128,45.36633937,44.73603405,44.26012511
Bulgaria,BGR,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.504939472,9.962235062,10.57093442,11.1940301,11.86436873,12.4940101,13.1728692,13.74118872,13.44746929,13.19635994,9.69357019,10.70514123,11.13950644,10.74526846,8.938781072,8.107978639,7.544348191,7.625505827,6.885145844,6.689306444,6.477723544,6.535681229,6.491082771,7.267330612,6.8064114,6.900656382,7.190024404,6.714853779,6.788471417,6.583847775,6.422348274,6.551441523,6.245148924,4.844314756,4.689221556
Bahrain,BHR,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.426623427,2.309019293,2.178924215,2.090391465,2.00265537,1.921886075,1.847205149,1.768829932,1.702287799,1.639467969,1.567605306,1.522779043,1.472743335,1.411807237,1.354992453,1.296675691,1.238627743,1.183066392,1.141572651,1.087567261,1.090384402,1.085737581,1.082119372,1.078176639,1.074516852,1.044932079,1.020055406,0.993353469,0.963344658,0.952586068,0.936349392,0.909630376,0.881003289,0.855980347,0.834352491
"Bahamas, The",BHS,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.253755774,5.251136139,5.458745279,5.430470477,4.33832291,4.991848621,3.83856418,3.530071336,4.031967426,4.108961177,4.202768225,3.711595214,2.999398278,4.431786191,3.494095068,2.505712666,2.30294397,2.937040918,2.881125745,3.285372511,3.742030299,3.132063636,2.675696802,2.240112373,1.880082073,1.58535663,1.31296091,1.090582806,0.911046438,0.933908799,0.921271344,0.862211753,0.830583581,0.801096998,0.774970911
Bosnia and Herzegovina,BIH,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.92241451,26.34761532,25.99081086,25.890921,25.75154371,25.83857139,25.61460629,25.16270359,24.7962578,24.26089063,23.78996959,23.38677723,22.96778528,22.62676913,22.20015989,21.70019272,20.9764923,21.76685606,22.4343329,20.86315001,20.78185844,21.75122328,20.00364853,18.14802628,18.97939028,19.04881806,19.99703023,16.73461854,19.04041199,12.81884681,18.55051564,18.02188504,17.57254912,17.11601901,16.70899257
Belarus,BLR,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.42410535,23.39165177,22.76389844,22.21713776,22.51514006,22.04925766,21.09436336,20.27157335,19.72793575,19.00471599,18.34487195,17.66354871,16.86682639,15.92772847,15.05060699,14.18645182,13.4175721,12.60995407,12.28973848,11.65420201,11.18346711,10.83064249,10.49900253,10.19375395,9.738285475,9.738285399,10.69645997,11.31473776,11.05710527,10.8923635,10.9072111,10.10831284,10.1121848,9.746537871,9.478374773
Belize,BLZ,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.23138343,28.67166351,28.17578475,27.44031054,27.15332717,28.68160963,29.91011373,25.01569085,27.47148686,25.95576845,24.57842825,23.26515098,21.99704599,20.77132677,19.55385745,19.33588247,19.07948347,18.89640716,18.75265957,18.59273305,18.41845547,18.16798853,17.89586278,17.67060951,18.08201981,18.56176153,17.4176185,17.4213821,16.86045838,17.75065452,17.52641149,17.0795172,16.83667037,16.38994621,16.13293087
Bermuda,BMU,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.1513079,37.6212984,35.83782355,33.71011971,38.3101448,37.64273187,38.90199067,37.90354147,37.33018026,36.60995848,41.75943055,39.68984339,32.72855351,32.72869602,36.15130534,37.00849119,33.74350712,28.96456425,27.91424375,29.80401986,31.50875159,29.24611746,31.10482607,29.1229458,27.99139298,27.52454354,28.26611505,28.75702632,25.19918806,27.8784641,27.64741891,24.80813518,25.07890482,24.92251932,24.71438968
Brazil,BRA,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.10121499,16.42363552,16.21704706,15.91116134,15.70643229,14.70628233,14.55393043,13.89355231,14.3766741,14.20783574,14.13813465,14.22001042,14.3769496,14.82801991,14.3285034,13.36262797,12.46845332,11.67160106,11.27870231,10.51536186,9.913597837,9.848147381,10.0260697,9.306504343,9.332391557,9.797929389,9.191430689,9.056943223,8.877277985,9.314074563,9.495608968,8.731440371,8.202818339,7.715652346,7.627825927
Barbados,BRB,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.797868466,5.481658677,4.814465745,4.633625756,4.031629653,4.810554462,4.66458906,3.906161399,3.782246277,3.256316399,3.648817808,3.539137374,4.018890566,3.892776338,2.757859492,4.151782112,3.479392562,3.184842057,3.332549319,3.293818359,3.186454781,3.123137622,3.032867195,2.953828725,2.890273321,2.86173727,3.105405248,3.095003335,2.827677004,2.969970131,2.93088432,2.851642145,1.369698511,1.301936719,1.245334406
Brunei Darussalam,BRN,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.628632267,2.537638229,2.447129131,2.361270189,2.261427426,2.188524781,2.113098361,2.03211895,1.977109373,1.91296421,1.839375679,1.797101821,1.763798412,1.731926334,1.703380537,1.670166842,1.636361549,1.612948915,1.571382303,1.544715001,1.521741471,1.490791702,1.460181375,1.431752611,1.40279844,1.380152051,1.358534846,1.060781623,1.953582684,1.336498048,1.405736889,1.516534213,1.27134853,1.236551222,1.20105853
Bhutan,BTN,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.66120141,67.14468797,66.70712394,66.37774153,65.95989964,65.58579234,65.29276398,64.96062992,64.5991736,64.26421776,63.91098383,63.49459979,63.14842718,62.7467307,62.29980405,62.05244661,61.51503078,61.14164094,60.44867571,59.64250906,60.14821651,58.3528041,56.34438084,56.65095547,57.98565469,56.57254976,55.45268818,54.00028425,51.12590599,49.91540965,49.85916064,43.95574587,43.81348653,43.20375008,42.36998548
Botswana,BWA,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.57834651,12.32624397,12.11077305,11.82427504,11.50813722,11.16096689,13.09866078,15.49658968,15.06605299,14.78560577,8.900217217,11.99707474,15.87412313,18.01705579,20.16920849,22.39149013,21.06478982,19.93313041,19.12329341,18.40561172,17.87818588,17.75747863,16.93305621,16.41463696,16.53336258,15.97705632,15.59454888,15.27428222,14.88865213,19.44340398,17.59337714,17.63843614,17.99888008,18.10637027,18.02850487
Central African Republic,CAF,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.69081275,64.94070018,65.33589437,65.09534295,64.71480246,65.68913027,65.4637695,65.28309126,64.89757526,65.59436144,65.43421462,65.28098733,66.47151682,65.98319565,66.1426916,65.84388028,65.53781161,65.59026163,64.42330052,63.65040486,63.30512652,62.65060241,65.63131049,65.57822601,64.91991432,64.53627046,64.14990251,63.93551149,63.62063946,65.41851696,66.11721643,66.02752398,65.87037791,66.05277869,66.06010293
Canada,CAN,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.48927373,3.451329487,3.482525943,3.348042872,3.153489428,3.112287431,3.007308438,2.990999502,2.805978339,2.515504718,2.160140519,2.116884656,2.107054533,2.023166329,2.122048524,2.081789148,1.95752994,1.914595196,1.901445914,1.778424997,1.768167414,1.724597135,1.802621004,1.727555874,1.643941216,1.947892404,1.516201808,1.518865519,1.537961777,1.550650277,1.36487111,1.306556145,1.271543036,1.129521603,1.104707242
Central Europe and the Baltics,CEB,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.87545571,20.79756245,20.4424189,19.99810482,19.50575202,18.82163473,18.32296424,18.17349445,18.15018941,17.87720081,17.25692496,15.81344589,15.63171919,14.42897213,13.88745301,12.79651582,11.99385689,11.41138517,11.18239299,11.48301574,11.13786187,11.00245284,10.5839398,10.22086978,9.57876719,8.722749582,8.515962649,8.096782126,7.736716565,7.765704047,7.407074123,7.199651582,7.097861343,6.072712526,5.853277403
Switzerland,CHE,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.489833068,4.503632285,4.818815404,4.896178059,4.73639968,4.641762589,4.81754439,4.926490004,5.091797988,4.640718024,4.453918388,4.094140782,4.080765266,3.752945022,3.718795229,3.666435784,3.899546156,4.074483486,3.343292997,3.554490285,3.614360362,3.480598628,3.528621752,3.528261715,3.387508168,3.271349219,3.135421455,3.010642134,2.537950046,2.503192864,2.334318324,2.218389383,2.241920247,2.295343552,2.241764953
Channel Islands,CHI,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.552416078,4.440238982,4.326543502,4.211538765,4.097107374,3.981557156,3.867285595,3.754920008,3.646170125,3.542356462,3.445463521,3.35266375,3.268828824,3.189066059,3.11625042,3.048746749,2.988508877,2.931688039,2.880702794,2.836511609,2.793116819,2.752232262,2.708785467,2.661429316,2.612372872,2.560603107,2.507841004,2.454188894,2.399940095,2.296939932,2.267446917,2.213994998,2.161109879,2.10944439,2.060989473
Chile,CHL,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.72259088,15.83166313,14.48722042,14.15755356,13.70404653,13.42551274,12.58613552,12.57673555,12.6009632,12.60780682,11.85195409,11.76726444,11.84961255,11.38872263,10.95388982,10.55644823,10.14554175,9.734162512,9.531897236,9.190777713,8.852276226,8.494830564,7.71172871,7.510919939,7.450556218,7.51260627,7.415226652,7.256072078,7.030796495,7.184743931,6.547620335,6.327570901,6.208365942,6.225460077,6.0655245
China,CHN,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.64008519,58.50010885,56.4004374,54.29990286,52.20010777,50.50035858,49.9004536,49.79967504,50.09944339,50.03956127,50.00000758,49.99999327,49.09948914,46.90025213,44.80019631,42.60048811,40.80004427,39.60007094,38.09988476,36.70061036,34.7997907,33.60059229,31.4002857,29.5004728,28.30047173,27.42212491,26.68358262,25.75149533,24.72198966,23.59985968,22.86877804,24.08010856,22.8008772,22.21649829,21.67686233
Cote d'Ivoire,CIV,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.85142024,49.82605309,49.79666914,49.60036395,49.26611596,48.88210266,48.28883161,48.05720326,47.84277494,47.90698675,48.14228134,48.37910103,48.71991222,48.2554133,48.03755039,47.84821576,47.70913449,47.40959535,47.0279227,46.63430525,47.18377403,46.27182771,45.31016929,47.85796395,50.53674009,52.92405057,50.50790459,48.40415068,45.94493909,47.67347581,48.22129241,47.9817803,47.0773578,46.25877922,45.36650598
Cameroon,CMR,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.99663013,65.28209295,65.70467567,65.72598451,65.54323605,65.27524014,65.01218121,64.69786642,64.37376082,64.07110088,63.73837812,63.33834194,62.66296824,61.7149965,60.83376373,60.33109272,59.82734581,58.25462821,56.67997694,55.09999366,53.28503522,51.42114868,49.47918244,47.61304243,46.6540419,45.70445232,44.81125632,43.89191919,43.04507001,44.03199974,43.83430309,43.32585188,42.90332668,42.3734959,41.85397586
