"",Country,1990,1995,2000,2005,2010,2014
1,Afghanistan,139,200,248,316,382,451
2,Albania,73,73,74,75,75,76
3,Algeria,526,639,757,871,1019,1154
4,Argentina,1009,1116,1222,1336,1455,1559
5,Armenia,111,103,101,100,101,103
6,Australia,1596,1734,1901,2095,2341,2545
7,Austria,750,796,816,853,882,919
8,Bahrain,17,20,25,34,52,58
9,Bangladesh,9128,10212,11285,12243,13128,13778
10,Barbados,10,11,11,12,12,13
11,Belgium,890,937,988,1045,1124,1191
12,Belize,1,1,2,2,2,3
13,Benin,2037,2449,2872,3372,3965,4453
14,Bolivia (Plurinational State of),132,149,171,193,217,240
15,Botswana,453,504,532,600,708,776
16,Brazil,1925,2174,2429,2717,2987,3185
17,Bulgaria,2296,2147,2045,1964,1920,1887
18,Burundi,2739,2908,3370,3952,4707,5426
19,Cambodia,90,108,125,137,153,167
20,Cameroon,1962,2250,2557,2945,3429,3837
21,Canada,2137,2315,2511,2705,2895,3088
22,Central African Republic,467,532,594,650,742,815
23,Chile,337,380,423,465,508,545
24,China,23086,26012,28448,30647,32811,34371
25,Colombia,523,601,677,757,838,902
26,Congo,698,802,912,1084,1370,1522
27,Costa Rica,37,43,50,56,61,66
28,Côte d’Ivoire,2054,2403,2692,3012,3413,3727
29,Croatia,253,254,250,260,266,263
30,Cuba,297,322,340,356,367,376
31,Cyprus,36,43,50,58,65,70
32,Czech Republic,605,636,643,645,679,692
33,Democratic Republic of the Congo,19,24,29,35,43,51
34,Denmark,572,592,615,635,655,676
35,Dominican Republic,139,158,179,200,223,241
36,Ecuador,115,134,156,177,201,221
37,Egypt,3423,3864,4219,4746,5398,6088
38,El Salvador,118,130,141,151,160,167
39,Estonia,81,76,77,76,77,77
40,Fiji,11,13,13,13,14,16
41,Finland,501,531,552,574,656,668
42,France,3997,4244,4530,4861,5176,5439
43,Gabon,11,14,16,20,23,27
44,Gambia,6,7,9,11,14,16
45,Germany,9052,9467,9692,9806,9890,9928
46,Ghana,1241,1389,1526,1723,1960,2158
47,Greece,567,623,671,718,759,763
48,Guatemala,1207,1368,1534,1705,1908,2071
49,Guyana,2,2,2,2,2,2
50,Haiti,3022,3389,3790,4180,3655,4699
51,Honduras,17,20,24,27,31,34
52,Hungary,554,585,604,617,627,636
53,Iceland,25,27,29,32,35,37
54,India,315760,336737,370475,402271,433257,457110
55,Indonesia,2145,2472,2793,3145,3533,3851
56,Iran (Islamic Republic of),844,961,1124,1303,1489,1655
57,Iraq,307,383,478,586,717,853
58,Ireland,268,285,313,363,419,439
59,Israel,260,315,366,408,482,536
60,Italy,3484,3644,3808,4045,4280,4510
61,Jamaica,42,46,50,53,56,57
62,Japan,12310,12931,13528,13987,14505,14688
63,Jordan,63,90,106,127,165,197
64,Kazakhstan,571,567,552,576,648,705
65,Kenya,2526,2913,3262,3822,4624,5208
66,Kuwait,708,554,651,745,869,966
67,Kyrgyzstan,125,135,150,164,179,195
68,Lao People’s Democratic Republic,110,127,143,156,172,185
69,Latvia,114,110,108,106,102,99
70,Lesotho,1007,1051,1036,986,1050,1069
71,Liberia,1792,1652,2324,2622,3330,3627
72,Lithuania,186,194,197,193,188,183
73,Luxembourg,49,55,60,66,74,84
74,Malawi,3519,3622,4046,4698,5850,6892
75,Malaysia,168,207,252,298,344,381
76,Maldives,5,7,8,9,11,12
77,Mali,3614,4092,4704,5528,6497,7355
78,Malta,15,16,17,19,20,22
79,Mauritania,1030,1200,1349,1536,1741,1915
80,Mauritius,23,25,28,29,31,32
81,Mexico,1747,2045,2363,2631,2968,3247
82,Mongolia,110,121,130,140,152,165
83,Morocco,2947,3228,3484,3730,3980,4186
84,Mozambique,10148,12536,14347,15947,18087,20200
85,Myanmar,2864,3130,3398,3631,3838,4000
86,Namibia,75,88,102,111,126,141
87,Nepal,2642,3083,3448,3751,3998,4266
88,Netherlands,1344,1426,1507,1584,1640,1688
89,New Zealand,217,245,264,288,308,324
90,Nicaragua,148,174,192,210,228,241
91,Niger,3998,4695,5581,6710,8148,9452
92,Nigeria,25718,29233,33063,38005,43909,49003
93,Norway,596,623,653,683,735,788
94,Pakistan,1033,1207,1397,1603,1853,2087
95,Panama,33,38,44,50,56,62
96,Papua New Guinea,3912,4497,5155,5853,6529,7032
97,Paraguay,37,43,50,58,64,70
98,Peru,211,245,278,309,343,374
99,Philippines,1342,1579,1823,2085,2329,2533
100,Poland,1501,1560,1599,1637,1674,1707
101,Portugal,341,360,392,429,458,466
102,Qatar,21,23,27,39,82,102
103,Republic of Korea,1301,1465,1635,1762,1903,1996
104,Republic of Moldova,87,91,93,96,98,100
105,Romania,920,933,957,947,931,940
106,Russian Federation,12773,12865,12753,12543,12708,12962
107,Rwanda,794,629,962,1127,1343,1513
108,Saudi Arabia,452,572,695,890,1091,1267
109,Senegal,1891,2160,2444,2803,3239,3614
110,Serbia,793,794,788,787,789,783
111,Sierra Leone,4167,3834,3767,4801,5497,5939
112,Singapore,121,150,182,199,254,285
113,Slovakia,246,253,261,264,272,279
114,Slovenia,99,101,104,107,111,114
115,South Africa,3163,3491,3807,4050,4459,4801
116,Spain,1796,1982,2132,2433,2709,2796
117,Sri Lanka,292,331,369,385,392,449
118,Sudan (former),6279,7807,8939,10271,10727,11597
119,Swaziland,14,17,20,22,25,28
120,Sweden,807,861,903,951,1014,1070
121,Switzerland,1047,1117,1159,1210,1295,1365
122,Syrian Arab Republic,336,397,464,527,618,535
123,Tajikistan,141,162,179,200,227,252
124,Thailand,1146,1263,1406,1555,1657,1752
125,Togo,276,311,365,420,490,558
126,Trinidad and Tobago,52,55,57,60,63,65
127,Tunisia,157,184,211,237,273,305
128,Turkey,952,1076,1214,1359,1498,1662
129,Uganda,8820,10403,12068,14814,17859,20695
130,Ukraine,17579,17244,16241,15419,15267,15132
131,United Arab Emirates,971,1309,1719,2245,3008,3396
132,United Kingdom,3960,4117,4323,4548,4848,5129
133,United Republic of Tanzania,8259,9635,10926,12798,15218,17381
134,United States of America,22901,24852,26787,28289,30118,31265
135,Uruguay,190,200,210,214,220,225
136,Venezuela (Bolivarian Republic of),315,367,419,478,536,587
137,Viet Nam,618,703,777,846,924,991
138,Yemen,1758,2185,2575,3016,3529,3981
139,Zambia,5642,6401,7309,8597,10529,12037
140,Zimbabwe,10625,11013,10872,10575,11484,14190
