"IDSCENARIOS","IDYEARS","REGION_4LETTER","REGION_4LETTER_LABEL","PM25_ANTHROP","PM25_SELF","PM25_EXPORT"
"Baseline",2020,"SKRE","Slovakia",10.72,3.3,1.607
"Baseline",2020,"SLOV","Slovenia",12.25,5.715,0.911
"Baseline",2020,"SPAI","Spain",7.57,5.333,1.41
"Baseline",2020,"SRIL","Sri Lanka",7.78,7.16,0.006
"Baseline",2020,"SWED","Sweden",4.16,1.513,0.575
"Baseline",2020,"SWIT","Switzerland",8.04,4.202,0.684
"Baseline",2020,"TAIW","Taiwan",14.69,12.764,0.057
"Baseline",2020,"TAJI","Tajikistan",13.23,8.56,1.223
"Baseline",2020,"TANZ","United Republic of Tanzania",6.45,5.963,0.488
"Baseline",2020,"THAI","Thailand",10.19,8.726,2.721
"Baseline",2020,"TKME","Turkmenistan",6.55,3.195,0.649
"Baseline",2020,"TURK","Turkey",19.09,15.824,7.237
"Baseline",2020,"UKRA","Ukraine",9.24,5.015,8.937
"Baseline",2020,"UNKI","United Kingdom",6.04,3.927,5.061
"Baseline",2020,"URUG","Uruguay",3.15,2.673,0.19
"Baseline",2020,"USAM","United States of America",5.78,5.468,1.844
"Baseline",2020,"UZBE","Uzbekistan",12.46,7.667,5.121
"Baseline",2020,"VENE","Venezuela (Bolivarian Republic of)",5.34,5.128,0.153
"Baseline",2020,"VIET","Vietnam",20.08,16.756,3.321
"Baseline",2020,"WAFR","Western Africa (excl Nigeria)",8.19,7.255,0.363
"Baseline",2025,"AFGH","Afghanistan",47.01,46.152,1.993
"Baseline",2025,"ALBA","Albania",13.91,8.596,0.823
"Baseline",2025,"ARGE","Argentina",3.5,3.033,0.386
"Baseline",2025,"ARME","Armenia",9.63,5.795,0.445
"Baseline",2025,"AUST","Austria",7.57,3.228,2.449
"Baseline",2025,"AUTR","Australia",2.35,2.277,0.068
"Baseline",2025,"AZER","Azerbaijan",7.24,3.69,1.266
"Baseline",2025,"BANG","Bangladesh",55.8,33.047,1.692
"Baseline",2025,"BELA","Belarus",7.97,3.731,1.486
"Baseline",2025,"BELG","Belgium",8.59,3.206,2.561
"Baseline",2025,"BHUT","Bhutan",11.16,4.866,0.453
"Baseline",2025,"BOHE","Bosnia and Herzegovina",18.67,14.01,6.704
"Baseline",2025,"BOLV","Bolivia (Plurinational State of)",2.48,2.367,0.004
"Baseline",2025,"BRAZ","Brazil",5.79,5.729,1.322
"Baseline",2025,"BRUN","Brunei Darussalam",4.93,2.91,0.097
"Baseline",2025,"BULG","Bulgaria",11.23,6.448,2.455
"Baseline",2025,"CAMB","Cambodia",7.37,4.618,0.249
"Baseline",2025,"CANA","Canada",6.67,4.981,0.209
"Baseline",2025,"CARB","Caribbean",3.87,3.705,0.188
"Baseline",2025,"CEAM","Central America",6.84,6.739,0.025
"Baseline",2025,"CHIL","Chile",16.42,16.308,0.176
"Baseline",2025,"CHIN","China",26.93,26.07,18.233
"Baseline",2025,"COLO","Colombia",6.63,6.4,0.028
"Baseline",2025,"CROA","Croatia",12.25,5.921,2.405
"Baseline",2025,"CYPR","Cyprus",7.1,0.667,0.003
"Baseline",2025,"CZRE","Czech Republic",10.85,5.893,4.239
"Baseline",2025,"DENM","Denmark",5.24,1.684,0.602
